"Source"	"Target"	"Loss"
"14273"	"8103"	"L1"
"15166"	"8103"	"K1"
"15228"	"8103"	"E1"
"15569"	"8103"	"H1"
"17116"	"8103"	"Y1"
"14275"	"8105"	"L1"
"8200"	"8199"	""
"16830"	"8199"	"R1"
"8201"	"8200"	""
"8203"	"8201"	""
"13471"	"8203"	"P1"
"18779"	"8203"	"P2"
"25125"	"8270"	"C2Y1"
"20571"	"8275"	"K1T1"
"12217"	"8283"	"A1"
"14524"	"8283"	"L1"
"16949"	"8283"	"R1"
"14834"	"8669"	"L1"
"15860"	"8669"	"M1"
"16505"	"8669"	"A2"
"17188"	"8669"	"G1P1"
"17959"	"8669"	"A1P1"
"18787"	"8669"	"A1G2"
"18801"	"8669"	"G1K1"
"19262"	"8669"	"G1H1"
"14856"	"8727"	"L1"
"14861"	"8728"	"L1"
"14861"	"8729"	"L1"
"12589"	"8733"	"A1"
"14220"	"8733"	"T1"
"14861"	"8733"	"L1"
"15006"	"8733"	"D1"
"17706"	"8733"	"Y1"
"8769"	"8768"	""
"8771"	"8769"	""
"8770"	"8769"	""
"16899"	"8769"	"F1"
"8772"	"8771"	""
"13928"	"8770"	"P1"
"14082"	"8770"	"V1"
"14273"	"8770"	"T1"
"14882"	"8770"	"L1"
"15732"	"8770"	"K1"
"15778"	"8770"	"E1"
"16298"	"8770"	"H1"
"16897"	"8770"	"F1"
"17335"	"8770"	"R1"
"17735"	"8770"	"Y1"
"23251"	"8770"	"F2"
"8773"	"8772"	""
"16293"	"8772"	"H1"
"13928"	"8773"	"P1"
"14082"	"8773"	"V1"
"14269"	"8773"	"T1"
"14882"	"8773"	"L1"
"15732"	"8773"	"K1"
"15778"	"8773"	"E1"
"16298"	"8773"	"H1"
"16898"	"8773"	"F1"
"17335"	"8773"	"R1"
"12721"	"8823"	"A1"
"14332"	"8823"	"T1"
"14955"	"8823"	"L1"
"14956"	"8823"	"L1"
"15035"	"8823"	"G2"
"15812"	"8823"	"K1"
"16349"	"8823"	"H1"
"16949"	"8823"	"F1"
"17268"	"8823"	"G1P1"
"17381"	"8823"	"R1"
"18971"	"8823"	"W1"
"8832"	"8828"	""
"14980"	"8829"	"L1"
"8835"	"8832"	""
"14183"	"8835"	"V1"
"14976"	"8835"	"L1"
"16034"	"8835"	"M1"
"16959"	"8835"	"F1"
"18937"	"8835"	"G1K1"
"12017"	"8894"	"G1"
"15860"	"8894"	"K1"
"15860"	"8896"	"K1"
"20309"	"8896"	"G1R1"
"15166"	"9020"	"L1"
"20571"	"9020"	"M1S1"
"21149"	"9020"	"C1K1"
"15246"	"9056"	"L1"
"9111"	"9106"	""
"14606"	"9111"	"T1"
"16605"	"9111"	"H1"
"12547"	"9402"	"G1"
"16505"	"9402"	"K1"
"12550"	"9408"	"G1"
"15191"	"9459"	"C1"
"9560"	"9559"	""
"9565"	"9559"	""
"9568"	"9560"	""
"9568"	"9565"	""
"17681"	"9566"	"F1"
"9569"	"9568"	""
"9573"	"9568"	""
"9574"	"9568"	""
"9577"	"9568"	""
"14977"	"9568"	"V1"
"9571"	"9569"	""
"14834"	"9569"	"P1"
"14979"	"9569"	"V1"
"17681"	"9569"	"F1"
"13436"	"9571"	"A1"
"14980"	"9571"	"V1"
"15166"	"9571"	"T1"
"15732"	"9571"	"L1"
"13436"	"9573"	"A1"
"14834"	"9573"	"P1"
"14976"	"9573"	"V1"
"15166"	"9573"	"T1"
"15732"	"9573"	"L1"
"17682"	"9573"	"F1"
"13441"	"9574"	"A1"
"14834"	"9574"	"P1"
"14979"	"9574"	"V1"
"15732"	"9574"	"L1"
"17681"	"9574"	"F1"
"14834"	"9577"	"P1"
"14979"	"9577"	"V1"
"15170"	"9577"	"T1"
"15732"	"9577"	"L1"
"17682"	"9577"	"F1"
"22633"	"9577"	"A1W1"
"14862"	"9637"	"P1"
"15228"	"9637"	"T1"
"15778"	"9637"	"L1"
"17724"	"9637"	"F1"
"18528"	"9637"	"Y1"
"14862"	"9639"	"P1"
"15229"	"9639"	"T1"
"15778"	"9639"	"L1"
"16864"	"9639"	"M1"
"17724"	"9639"	"F1"
"18524"	"9639"	"Y1"
"9647"	"9645"	""
"9651"	"9647"	""
"9652"	"9651"	""
"9653"	"9652"	""
"9655"	"9653"	""
"9658"	"9655"	""
"12797"	"9655"	"G1"
"17725"	"9658"	"F1"
"18787"	"9658"	"A1P1"
"21544"	"9658"	"A1R1"
"9893"	"9894"	""
"16091"	"9894"	"L1"
"12971"	"9893"	"G1"
"15334"	"9893"	"V1"
"16089"	"9893"	"L1"
"18726"	"9893"	"Y1"
"22746"	"9893"	"R1V1"
"9965"	"9960"	""
"17084"	"9965"	"K1"
"18013"	"9965"	"F1"
"18821"	"9965"	"Y1"
"10038"	"10035"	""
"10040"	"10038"	""
"13836"	"10040"	"A1"
"15569"	"10040"	"T1"
"16298"	"10040"	"L1"
"17188"	"10069"	"K1"
"21108"	"10069"	"A1H1"
"20193"	"10191"	"W1"
"24496"	"10191"	"R2"
"18736"	"10193"	"R1"
"20193"	"10193"	"W1"
"18736"	"10194"	"R1"
"14923"	"10208"	"S1"
"15624"	"10208"	"V1"
"16461"	"10208"	"L1"
"17268"	"10208"	"A1G1"
"17278"	"10208"	"K1"
"20309"	"10208"	"G1M1"
"10335"	"10329"	""
"13418"	"10335"	"G1"
"13420"	"10335"	"G1"
"15152"	"10335"	"S1"
"15624"	"10335"	"P1"
"15715"	"10335"	"V1"
"16584"	"10335"	"L1"
"17586"	"10335"	"M1"
"18857"	"10335"	"R1"
"16694"	"10424"	"L1"
"18823"	"10424"	"G1P1"
"18971"	"10424"	"R1"
"22633"	"10425"	"K1L1"
"10441"	"10435"	""
"10441"	"10436"	""
"10444"	"10441"	""
"16030"	"10441"	"T1"
"14332"	"10444"	"A1"
"16136"	"10444"	"C1"
"20511"	"10444"	"S1T1"
"15383"	"10557"	"S1"
"15858"	"10557"	"P1"
"15860"	"10557"	"P1"
"16034"	"10557"	"V1"
"16884"	"10602"	"L1"
"10615"	"10611"	""
"10615"	"10612"	""
"10616"	"10612"	""
"21681"	"10612"	"L1V1"
"10617"	"10615"	""
"10618"	"10615"	""
"16899"	"10615"	"L1"
"10617"	"10616"	""
"16899"	"10616"	"L1"
"10619"	"10617"	""
"16091"	"10617"	"V1"
"10619"	"10618"	""
"14524"	"10619"	"A1"
