"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"12671"	"431.962449"	"9"	"8"	"13"	"4"	"1"	"1"	"0"	"432.9694716"	"-0.091229943"	"0"	"No Peptide Found"	"Non metabolites found"
"12672"	"431.971178"	"9"	"11"	"7"	"6"	"2"	"1"	"0"	"432.9781694"	"0.212884968"	"0"	"No Peptide Found"	"Non metabolites found"
"12673"	"431.973619"	"15"	"6"	"14"	"2"	"0"	"3"	"0"	"432.9815833"	"1.096486884"	"0"	"No Peptide Found"	"Non metabolites found"
"12674"	"431.990591"	"14"	"9"	"10"	"4"	"1"	"2"	"0"	"432.997376"	"0.186097211"	"0"	"No Peptide Found"	"Non metabolites found"
"12675"	"431.994994"	"17"	"12"	"11"	"0"	"2"	"1"	"0"	"433.0024015"	"1.353147189"	"0"	"No Peptide Found"	"Non metabolites found"
"12676"	"431.998834"	"13"	"9"	"12"	"4"	"1"	"1"	"0"	"433.0059387"	"0.357181458"	"0"	"No Peptide Found"	"Non metabolites found"
"12679"	"432.015743"	"18"	"11"	"10"	"2"	"1"	"2"	"0"	"433.0233831"	"-1.153936066"	"0"	"No Peptide Found"	"Non metabolites found"
"14200"	"432.02258"	"20"	"8"	"13"	"1"	"0"	"3"	"1"	"455.0124429"	"-0.147887457"	"0"	"No Peptide Found"	"Non metabolites found"
"12680"	"432.028693"	"17"	"9"	"8"	"6"	"2"	"1"	"0"	"433.03598"	"-1.006033034"	"0"	"No Peptide Found"	"Non metabolites found"
"12681"	"432.037118"	"20"	"17"	"7"	"0"	"3"	"0"	"0"	"433.0444231"	"-0.368136638"	"0"	"No Peptide Found"	"Non metabolites found"
"14204"	"432.049449"	"23"	"9"	"12"	"1"	"1"	"2"	"1"	"455.03914"	"-0.937279856"	"0"	"No Peptide Found"	"Non metabolites found"
"12684"	"432.050474"	"17"	"14"	"8"	"4"	"1"	"1"	"0"	"433.0577033"	"-0.174794885"	"0"	"No Peptide Found"	"Non metabolites found"
"12685"	"432.052128"	"22"	"12"	"9"	"2"	"1"	"2"	"0"	"433.0597433"	"-0.957803115"	"0"	"No Peptide Found"	"Non metabolites found"
"12687"	"432.060371"	"21"	"12"	"11"	"2"	"1"	"1"	"0"	"433.0682533"	"-0.185450242"	"0"	"No Peptide Found"	"Non metabolites found"
"12688"	"432.064393"	"21"	"17"	"9"	"0"	"1"	"1"	"0"	"433.0722989"	"-0.281514165"	"0"	"No Peptide Found"	"Non metabolites found"
"12689"	"432.0691"	"21"	"15"	"5"	"4"	"2"	"1"	"0"	"433.076495"	"1.218679768"	"0"	"No Peptide Found"	"Non metabolites found"
"15693"	"432.069887"	"20"	"12"	"11"	"2"	"0"	"2"	"2"	"477.0413453"	"-0.06774429"	"0"	"No Peptide Found"	"Non metabolites found"
"12690"	"432.071604"	"21"	"11"	"10"	"4"	"1"	"1"	"0"	"433.0790595"	"0.62203032"	"0"	"No Peptide Found"	"Non metabolites found"
"12691"	"432.078997"	"25"	"13"	"8"	"2"	"2"	"1"	"0"	"433.0864596"	"0.017128361"	"0"	"No Peptide Found"	"Non metabolites found"
"12692"	"432.082152"	"21"	"17"	"11"	"0"	"0"	"1"	"0"	"433.0899013"	"-0.263987472"	"0"	"No Peptide Found"	"Non metabolites found"
"12694"	"432.088513"	"26"	"13"	"8"	"2"	"1"	"2"	"0"	"433.095914"	"0.590921696"	"0"	"No Peptide Found"	"Non metabolites found"
"12695"	"432.095969"	"24"	"16"	"4"	"4"	"3"	"0"	"0"	"433.1033497"	"0.369826578"	"0"	"No Peptide Found"	"Non metabolites found"
"12696"	"432.103831"	"20"	"18"	"3"	"6"	"2"	"0"	"0"	"433.1109131"	"-0.192144289"	"0"	"No Peptide Found"	"Non metabolites found"
"12697"	"432.106335"	"20"	"14"	"8"	"6"	"1"	"0"	"0"	"433.1134543"	"-0.141239589"	"0"	"No Peptide Found"	"Non metabolites found"
"12698"	"432.112011"	"25"	"17"	"7"	"2"	"1"	"1"	"0"	"433.119348"	"-0.797257362"	"0"	"No Peptide Found"	"Non metabolites found"
"12699"	"432.114515"	"25"	"13"	"12"	"2"	"0"	"1"	"0"	"433.12221"	"0.269336317"	"0"	"No Peptide Found"	"Non metabolites found"
"12700"	"432.118537"	"25"	"18"	"10"	"0"	"0"	"1"	"0"	"433.1262927"	"-0.710435846"	"0"	"No Peptide Found"	"Non metabolites found"
"12701"	"432.123244"	"25"	"16"	"6"	"4"	"1"	"1"	"0"	"433.1308589"	"0.236052292"	"0"	"No Peptide Found"	"Non metabolites found"
