men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
hhs	Candidatus Pantoea carbekii
pck	Candidatus Pantoea carbekii US
rip	Candidatus Riesia pediculicola
pes	Candidatus Sodalis pierantonius
sbw	Candidatus Tachikawaea gelatinosa
cfa	Canis familiaris (dog)
chx	Capra hircus (goat)
crb	Capsella rubella
cem	Cedecea neteri
cen	Cedecea neteri
ced	Cedecea neteri
cnt	Cedecea neteri SSMD04
pfj	Cercospora fijiensis
cthr	Chaetomium thermophilum
sfo	Chania multitudinisentens
cmy	Chelonia mydas (green sea turtle)
cre	Chlamydomonas reinhardtii
cvr	Chlorella variabilis
csab	Chlorocebus sabaeus (green monkey)
ccp	Chondrus crispus (carragheen)
cam	Cicer arietinum (chickpea)
cin	Ciona intestinalis (sea squirt)
cama	Citrobacter amalonaticus
cfd	Citrobacter freundii
cko	Citrobacter koseri
cro	Citrobacter rodentium
cif	Citrobacter sp. FDAARGOS_156
cic	Citrus clementina (mandarin orange)
cit	Citrus sinensis (Valencia orange)
clu	Clavispora lusitaniae
cim	Coccidioides immitis
cpw	Coccidioides posadasii
csl	Coccomyxa subellipsoidea
clv	Columba livia (rock pigeon)
cput	Coniophora puteana
cci	Coprinopsis cinerea
cmt	Cordyceps militaris
ccw	Corvus cornix (hooded crow)
cjo	Coturnix japonica (Japanese quail)
crg	Crassostrea gigas (Pacific oyster)
cge	Cricetulus griseus (Chinese hamster)
ccon	Cronobacter condimenti
cdm	Cronobacter dublinensis
cmj	Cronobacter malonaticus
cmw	Cronobacter muytjensii
csj	Cronobacter sakazakii ATCC 29544
esa	Cronobacter sakazakii ATCC BAA-894
csi	Cronobacter sakazakii CMCC 45402
csk	Cronobacter sakazakii ES15
csz	Cronobacter sakazakii Sp291
ctu	Cronobacter turicensis
cui	Cronobacter universalis
cgi	Cryptococcus gattii
cnb	Cryptococcus neoformans B-3501A
cne	Cryptococcus neoformans JEC21
cho	Cryptosporidium hominis
cpv	Cryptosporidium parvum
cmo	Cucumis melo (muskmelon)
csv	Cucumis sativus (cucumber)
cqu	Culex quinquefasciatus (southern house mosquito)
cme	Cyanidioschyzon merolae
dpl	Danaus plexippus (monarch butterfly)
dre	Danio rerio (zebrafish)
dpx	Daphnia pulex (common water flea)
dha	Debaryomyces hansenii
dsq	Dichomitus squalens
ddd	Dickeya dadantii 3937
dda	Dickeya dadantii Ech703
dso	Dickeya solani
dzc	Dickeya zeae EC1
dze	Dickeya zeae Ech1591
ddc	Dickeya zeae Ech586
ddi	Dictyostelium discoideum (cellular slime mold)
dfa	Dictyostelium fasciculatum (cellular slime mold)
dpp	Dictyostelium purpureum (cellular slime mold)
dko	Dokdonella koreensis
dan	Drosophila ananassae
der	Drosophila erecta
dgr	Drosophila grimshawi
dme	Drosophila melanogaster (fruit fly)
dmo	Drosophila mojavensis
dpe	Drosophila persimilis
dpo	Drosophila pseudoobscura pseudoobscura
dse	Drosophila sechellia
dsi	Drosophila simulans
dvi	Drosophila virilis
dwi	Drosophila willistoni
dya	Drosophila yakuba
dja	Dyella japonica
dji	Dyella jiangningensis
dtx	Dyella thiooxydans
ete	Edwardsiella anguillarum
eic	Edwardsiella ictaluri
etc	Edwardsiella piscicida C07-087
edw	Edwardsiella sp. EA181011
edl	Edwardsiella sp. LADL05-105
etr	Edwardsiella tarda EIB202
etd	Edwardsiella tarda FL6-60
egu	Elaeis guineensis (African oil palm)
ehx	Emiliania huxleyi
ecu	Encephalitozoon cuniculi
ehe	Encephalitozoon hellem
ein	Encephalitozoon intestinalis
ero	Encephalitozoon romaleae
edi	Entamoeba dispar
ehi	Entamoeba histolytica
eiv	Entamoeba invadens
ear	Enterobacter aerogenes EA1509E
eae	Enterobacter aerogenes KCTC 2190
eau	Enterobacter asburiae L1
eas	Enterobacter asburiae LF7a
eclx	Enterobacter cloacae 34399
ecly	Enterobacter cloacae 34977
eclz	Enterobacter cloacae 34983
ecle	Enterobacter cloacae ECNIH2
ecla	Enterobacter cloacae ECNIH3
ecln	Enterobacter cloacae ECNIH4
ecli	Enterobacter cloacae ECNIH5
eclc	Enterobacter cloacae ECR091
eec	Enterobacter cloacae EcWSU1
eclg	Enterobacter cloacae GGT036
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
eno	Enterobacter cloacae subsp. cloacae ENHKU01
eclo	Enterobacter cloacae subsp. cloacae NCTC 9394
enl	Enterobacter cloacae subsp. dissolvens SDM
esc	Enterobacter lignolyticus
ent	Enterobacter sp. 638
enx	Enterobacter sp. E20
enf	Enterobacter sp. FY-07
enr	Enterobacter sp. R4-368
ebf	Enterobacteriaceae bacterium FGI 57
ecb	Equus caballus (horse)
erc	Eremothecium cymbalariae
eay	Erwinia amylovora ATCC 49946
eam	Erwinia amylovora CFBP1430
ebi	Erwinia billingiae
ege	Erwinia gerundensis
epr	Erwinia pyrifoliae DSM 12163
epy	Erwinia pyrifoliae Ep1/96
erj	Erwinia sp. Ejp617
eta	Erwinia tasmaniensis
eal	Escherichia albertii
eck	Escherichia coli 55989 (EAEC)
eab	Escherichia coli ABU 83972
ecv	Escherichia coli APEC O1 (APEC)
ecoa	Escherichia coli APEC O78
ecl	Escherichia coli ATCC 8739
ebr	Escherichia coli B REL606
ebl	Escherichia coli BL21(DE3)
ebe	Escherichia coli BL21(DE3)
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
ebw	Escherichia coli BW2952
elc	Escherichia coli clone D i14
eld	Escherichia coli clone D i2
edh	Escherichia coli DH1
edj	Escherichia coli DH1
ecw	Escherichia coli E24377A (ETEC)
eih	Escherichia coli IHE3034
ecoj	Escherichia coli JJ1886
ecd	Escherichia coli K-12 DH10B
ecok	Escherichia coli K-12 MDS42
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
eko	Escherichia coli KO11FL
ekf	Escherichia coli KO11FL
elf	Escherichia coli LF82
ecol	Escherichia coli LY180
ena	Escherichia coli NA114 (UPEC)
eoh	Escherichia coli O103:H2 12009 (EHEC)
esm	Escherichia coli O104:H4 2009EL-2050
eso	Escherichia coli O104:H4 2009EL-2071
esl	Escherichia coli O104:H4 2011C-3493
eoi	Escherichia coli O111:H- 11128 (EHEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
ese	Escherichia coli O150:H5 SE15 (commensal)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
etw	Escherichia coli O157:H7 TW14359 (EHEC)
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
ecos	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
elo	Escherichia coli O44:H18 042 (EAEC)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
elr	Escherichia coli O55:H7 RM12579 (EPEC)
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
eoc	Escherichia coli O7:K1 CE10
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
ecr	Escherichia coli O8 IAI1 (commensal)
ecq	Escherichia coli O81 ED1a (commensal)
eln	Escherichia coli O83:H1 NRG 857C
ecx	Escherichia coli O9 HS (commensal)
elp	Escherichia coli P12b
ecoi	Escherichia coli PMV-1
ecm	Escherichia coli SMS-3-5 (environmental)
elu	Escherichia coli UM146
eun	Escherichia coli UMNK88
elw	Escherichia coli W
ell	Escherichia coli W
efe	Escherichia fergusonii
egr	Eucalyptus grandis (rose gum)
eus	Eutrema salsugineum
ela	Eutypa lata
fch	Falco cherrug (Saker falcon)
fpg	Falco peregrinus (peregrine falcon)
fca	Felis catus (domestic cat)
fab	Ficedula albicollis (collared flycatcher)
fme	Fomitiporia mediterranea
fve	Fragaria vesca (woodland strawberry)
fau	Frateuria aurantia
fgr	Fusarium graminearum
fpu	Fusarium pseudograminearum
gsl	Galdieria sulphuraria
gan	Gallibacterium anatis
gga	Gallus gallus (chicken)
gja	Gekko japonicus
gfr	Geospiza fortis (medium ground-finch)
gla	Giardia lamblia
gtr	Gloeophyllum trabeum
gmx	Glycine max (soybean)
ggo	Gorilla gorilla gorilla (western lowland gorilla)
gra	Gossypium raimondii
gho	Grimontia hollisae
gtt	Guillardia theta
hdu	Haemophilus ducreyi
hiu	Haemophilus influenzae 10810 (serotype b)
hiw	Haemophilus influenzae 477
hix	Haemophilus influenzae 723
hit	Haemophilus influenzae 86-028NP (nontypeable)
hic	Haemophilus influenzae C486
hia	Haemophilus influenzae CGSHiCZ412602
hif	Haemophilus influenzae F3031 (nontypeable)
hil	Haemophilus influenzae F3047 (nontypeable)
hih	Haemophilus influenzae Hi375
hik	Haemophilus influenzae KR494 (serotype f)
hip	Haemophilus influenzae PittEE (nontypeable)
hiq	Haemophilus influenzae PittGG (nontypeable)
hie	Haemophilus influenzae R2846 (nontypeable)
hiz	Haemophilus influenzae R2866 (nontypeable)
hin	Haemophilus influenzae Rd KW20 (serotype d)
hpr	Haemophilus parainfluenzae
hpak	Haemophilus parasuis KL0318
hap	Haemophilus parasuis SH0165
hpas	Haemophilus parasuis SH03
hpaz	Haemophilus parasuis ZJ0906
hso	Haemophilus somnus 129PT
hsm	Haemophilus somnus 2336
hav	Hafnia alvei
hst	Harpegnathos saltator (Jerdon's jumping ant)
hro	Helobdella robusta
hir	Heterobasidion irregulare
hgl	Heterocephalus glaber (naked mole rat)
aje	Histoplasma capsulatum
hmg	Hydra vulgaris
isc	Ixodes scapularis (black-legged tick)
jcu	Jatropha curcas
kaf	Kazachstania africana
kmi	Klebsiella michiganensis
koe	Klebsiella oxytoca E718
koy	Klebsiella oxytoca HKOPL1
kox	Klebsiella oxytoca KCTC 1686
kok	Klebsiella oxytoca KONIH1
kom	Klebsiella oxytoca M1
kpa	Klebsiella pneumoniae 30660/NJST258_1
kps	Klebsiella pneumoniae 30684/NJST258_2
kpne	Klebsiella pneumoniae 32192
kpe	Klebsiella pneumoniae 342
kpnu	Klebsiella pneumoniae 34618
kpb	Klebsiella pneumoniae blaNDM-1
kpi	Klebsiella pneumoniae CG43
kpj	Klebsiella pneumoniae JM45
kpo	Klebsiella pneumoniae KCTC 2242
kpx	Klebsiella pneumoniae PMK1
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084
kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpk	Klebsiella pneumoniae subsp. pneumoniae KP5-1
kpc	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
kpr	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432
kqu	Klebsiella quasipneumoniae
kle	Klebsiella sp. G5
kva	Klebsiella variicola At-22
kvq	Klebsiella variicola DSM 15968
kvd	Klebsiella variicola DX120E
kin	Kluyvera intermedia
kla	Kluyveromyces lactis
ppa	Komagataella phaffii
kor	Kosakonia oryzae
ksa	Kosakonia sacchari
lbc	Laccaria bicolor
lth	Lachancea thermotolerans
lcm	Latimeria chalumnae (coelacanth)
lax	Leclercia adecarboxylata
lbz	Leishmania braziliensis
ldo	Leishmania donovani
lif	Leishmania infantum
lma	Leishmania major
lmi	Leishmania mexicana
laz	Lelliottia amnigena
lve	Lipotes vexillifer (Yangtze River dolphin)
loa	Loa loa (eye worm)
lel	Lodderomyces elongisporus
lgi	Lottia gigantea (owl limpet)
lja	Lotus japonicus
lav	Loxodonta africana (African savanna elephant)
lab	Lysobacter antibioticus
lcp	Lysobacter capsici
lez	Lysobacter enzymogenes
lgu	Lysobacter gummosus
mcf	Macaca fascicularis (crab-eating macaque)
mcc	Macaca mulatta (rhesus monkey)
mgr	Magnaporthe oryzae
mgl	Malassezia globosa
mdm	Malus domestica (apple)
mhaq	Mannheimia haemolytica 89010807N
mhay	Mannheimia haemolytica 89010807N lktA-
mhae	Mannheimia haemolytica D153
mham	Mannheimia haemolytica D171
mhao	Mannheimia haemolytica D174
mhx	Mannheimia haemolytica M42548
mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
mht	Mannheimia haemolytica USDA-ARS-USMARC-185
mhal	Mannheimia haemolytica USMARC_2286
msu	Mannheimia succiniciproducens
mvr	Mannheimia varigena USDA-ARS-USMARC-1261
mvi	Mannheimia varigena USDA-ARS-USMARC-1296
mvg	Mannheimia varigena USDA-ARS-USMARC-1312
mve	Mannheimia varigena USDA-ARS-USMARC-1388
mbe	Marssonina brunnea
mze	Maylandia zebra (zebra mbuna)
mtr	Medicago truncatula (barrel medic)
mlr	Melampsora larici-populina
mgp	Meleagris gallopavo (turkey)
maw	Metarhizium acridum
maj	Metarhizium robertsii
pgu	Meyerozyma guilliermondii
mis	Micromonas commoda
mpp	Micromonas pusilla
mpr	Moniliophthora perniciosa
mrr	Moniliophthora roreri
mdo	Monodelphis domestica (opossum)
mbr	Monosiga brevicollis
mcs	Moraxella catarrhalis 25240
mct	Moraxella catarrhalis BBH18
mmk	Morganella morganii
mmu	Mus musculus (mouse)
mus	Musa acuminata (wild Malaysian banana)
mde	Musca domestica (house fly)
mtm	Myceliophthora thermophila
myb	Myotis brandtii (Brandt's bat)
myd	Myotis davidii
ngr	Naegleria gruberi
ngd	Nannochloropsis gaditana
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
nvi	Nasonia vitripennis (jewel wasp)
ncs	Naumovozyma castellii
ndi	Naumovozyma dairenensis
nhe	Nectria haematococca
nnu	Nelumbo nucifera (sacred lotus)
nve	Nematostella vectensis (sea anemone)
npa	Neofusicoccum parvum
ncr	Neurospora crassa
nte	Neurospora tetrasperma
nle	Nomascus leucogenys (northern white-cheeked gibbon)
nce	Nosema ceranae
opo	Obesumbacterium proteus
pbb	Oblitimonas alkaliphila
obi	Octopus bimaculoides
oaa	Ornithorhynchus anatinus (platypus)
ocu	Oryctolagus cuniculus (rabbit)
obr	Oryza brachyantha (malo sina)
dosa	Oryza sativa japonica (Japanese rice) (RAPDB)
osa	Oryza sativa japonica (Japanese rice) (RefSeq)
ola	Oryzias latipes (Japanese medaka)
olu	Ostreococcus lucimarinus
ota	Ostreococcus tauri
oas	Ovis aries (sheep)
pps	Pan paniscus (bonobo)
ptr	Pan troglodytes (chimpanzee)
ptg	Panthera tigris altaica (Amur tiger)
phd	Pantholops hodgsonii (chiru)
pagg	Pantoea agglomerans
paj	Pantoea ananatis AJ13355
pam	Pantoea ananatis LMG 20103
plf	Pantoea ananatis LMG 5342
paq	Pantoea ananatis PA13
kln	Pantoea rwandensis
pao	Pantoea sp. At-9b
pant	Pantoea sp. PSNIH1
panp	Pantoea sp. PSNIH2
pva	Pantoea vagans
pbn	Paracoccidioides brasiliensis Pb18
pbl	Paracoccidioides lutzii Pb01
ptm	Paramecium tetraurelia
pno	Parastagonospora nodorum
pmp	Pasteurella multocida 36950
pmul	Pasteurella multocida ATCC 43137
pul	Pasteurella multocida subsp. multocida 3480
pmv	Pasteurella multocida subsp. multocida HN06
pmu	Pasteurella multocida subsp. multocida Pm70
pato	Pectobacterium atrosepticum 21A
patr	Pectobacterium atrosepticum JG10-08
eca	Pectobacterium atrosepticum SCRI1043
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pcv	Pectobacterium carotovorum subsp. odoriferum
pec	Pectobacterium sp. SCC3193
pwa	Pectobacterium wasabiae
phu	Pediculus humanus corporis (human body louse)
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
pcs	Penicillium rubens
tmn	Phaeoacremonium minimum
pti	Phaeodactylum tricornutum
pco	Phanerochaete carnosa
pvu	Phaseolus vulgaris (common bean)
pda	Phoenix dactylifera (date palm)
pgb	Photobacterium gaetbulicola
ppr	Photobacterium profundum
pay	Photorhabdus asymbiotica
plu	Photorhabdus luminescens
ptt	Photorhabdus temperata
ppp	Physcomitrella patens subsp. patens
pif	Phytophthora infestans
psoj	Phytophthora sojae
pbe	Plasmodium berghei
pcb	Plasmodium chabaudi
pcy	Plasmodium cynomolgi
pfa	Plasmodium falciparum 3D7
pfd	Plasmodium falciparum Dd2
pfh	Plasmodium falciparum HB3
pkn	Plasmodium knowlesi
pvx	Plasmodium vivax
pyo	Plasmodium yoelii
psts	Plautia stali symbiont
pshi	Plesiomonas shigelloides
pge	Pluralibacter gergoviae
pxy	Plutella xylostella (diamondback moth)
pan	Podospora anserina
