"ID"	"Mass"	"Intensity.C1"	"Intensity.C2"	"Intensity.C3"	"Intensity.C4"	"Intensity.C5"	"Intensity.C6"	"Intensity.E15_1"	"Intensity.E15_2"	"Intensity.E15_3"	"Intensity.E15_4"	"Intensity.N1"	"Intensity.N2"	"Intensity.N3"	"Intensity.N4"	"Intensity.pY_C4"	"Intensity.pY_C5"	"Intensity.pY_C6"	"Intensity.pY_E5_1"	"Intensity.pY_E5_2"	"Intensity.pY_E5_3"	"Intensity.pY_E5_4"	"Intensity.pY_N1"	"Intensity.pY_N2"	"Intensity.pY_N3"	"Intensity.pY_N4"	"Intensity.pY_PV1"	"Intensity.pY_PV2"	"Intensity.pY_PV3"	"Intensity.pY_PV4"
53889	839.4865	"9661400000"	"7896700000"	"5951800000"	"3465500000"	"7599400000"	"3594300000"	"10581000000"	1.001e+10	6695300000	5956600000	"15950000000"	"13174000000"	"7088700000"	5242200000	"3465500000"	"7599400000"	"3594300000"	7604200000	6344800000	5101200000	"11848000000"	"15950000000"	"13174000000"	"7088700000"	5242200000	"0"	"9327700000"	5039100000	5089900000
27434	948.47389	"0"	"0"	"0"	"0"	"0"	"0"	"149800000"	170080000	126790000	0	"0"	"0"	"0"	0	"165030000"	"0"	"0"	0	0	0	"176050000"	"125830000"	"0"	"0"	0	"0"	"0"	0	0
6250	903.47355	"40100000000"	"19786000000"	"25505000000"	"29166000000"	"16439000000"	"10892000000"	"24360000000"	1.378e+10	2.07e+10	1.8327e+10	"7992100000"	"12975000000"	"6593300000"	3681200000	"29135000000"	"16424000000"	"11028000000"	7929500000	7015200000	1.021e+10	"36384000000"	"8694400000"	"13451000000"	"6648500000"	3689600000	"26219000000"	"26829000000"	1.7869e+10	2.11e+10
51810	904.47667	"0"	"1033200"	"727240"	"5812100"	"0"	"1326600"	"3894300"	0	0	0	"2226600"	"2387200"	"1391900"	0	"5126300"	"2101400"	"1326600"	812860	630760	0	"0"	"889580"	"2719200"	"1217600"	637020	"760820"	"0"	1055300	0
100509	853.43677	"667530000"	"490400000"	"1199900000"	"783260000"	"770980000"	"477230000"	"1462200000"	749650000	619500000	274190000	"662210000"	"58787000"	"456960000"	409620000	"783260000"	"770980000"	"477230000"	0	844620000	575460000	"795950000"	"662210000"	"58787000"	"456960000"	409620000	"453060000"	"633230000"	0	207100000
30143	917.56984	"0"	"24660000"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
123068	893.48583	"740070000"	"888750000"	"773670000"	"685120000"	"629170000"	"821390000"	"1847100000"	639190000	1062700000	439300000	"123510000"	"0"	"412170000"	307880000	"696270000"	"629170000"	"827360000"	467630000	285110000	268350000	"1698600000"	"138990000"	"184590000"	"412170000"	307880000	"809170000"	"1021600000"	521520000	536490000
55888	970.49713	"0"	"0"	"0"	"0"	"3452800"	"0"	"0"	0	0	0	"3446800"	"0"	"0"	0	"0"	"3452800"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
85685	956.46506	"46768000"	"60671000"	"37740000"	"52574000"	"32107000"	"0"	"0"	0	0	45889000	"0"	"0"	"0"	0	"0"	"32107000"	"0"	58415000	0	0	"0"	"0"	"0"	"0"	0	"66797000"	"52955000"	47315000	27155000
52308	751.43407	"33346000"	"53869000"	"55298000"	"27622000"	"44966000"	"13702000"	"314290000"	28234000	26966000	17249000	"616070000"	"393180000"	"267680000"	172040000	"27622000"	"44966000"	"13702000"	1.16e+08	117460000	87278000	"100730000"	"616070000"	"393180000"	"267680000"	172040000	"80788000"	"41488000"	13080000	8443900
44934	962.50863	"1564900"	"1320200000"	"389390000"	"30455000"	"77936000"	"250000000"	"740940000"	607110000	220360000	144970000	"323260000"	"266760000"	"157840000"	341980000	"30455000"	"77936000"	"250000000"	314280000	480440000	211700000	"95148000"	"323260000"	"263570000"	"157840000"	341980000	"671660000"	"434680000"	251090000	128660000
109608	897.42323	"1325100000"	"1248900000"	"1051800000"	"905490000"	"956230000"	"542090000"	"923790000"	761450000	591590000	928040000	"538590000"	"449680000"	"326380000"	343660000	"898520000"	"996360000"	"529880000"	695300000	437490000	678220000	"1103300000"	"504340000"	"418650000"	"311510000"	335480000	"1753500000"	"1736100000"	850850000	889210000
126239	934.44298	"5821100"	"14524000"	"17669000"	"6227400"	"7472800"	"1672100"	"24408000"	9800600	13430000	5011500	"2553500"	"0"	"9602500"	0	"11801000"	"5164200"	"1672100"	0	6835000	0	"10726000"	"2553500"	"0"	"9602500"	0	"0"	"0"	0	0
41641	899.4025	"0"	"3865200"	"3864300"	"3820400"	"108510000"	"8934400"	"5186300"	55830000	1804700	8384100	"2272900000"	"2140800000"	"1001000000"	859090000	"0"	"94822000"	"26231000"	0	0	34288000	"0"	"2271800000"	"2140800000"	"1001000000"	859090000	"0"	"0"	0	0
5450	856.5382	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
35794	964.49779	"359730000"	"26247000"	"34981000"	"38749000"	"27066000"	"36298000"	"194380000"	48845000	266760000	225600000	"0"	"0"	"0"	0	"38749000"	"27066000"	"36298000"	15933000	0	53733000	"108790000"	"0"	"0"	"0"	0	"187940000"	"137050000"	84663000	116510000
4838	716.40685	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"173900000"	"166940000"	0	0
52004	970.4906	"819970000"	"1016900000"	"1187400000"	"1259000000"	"1194800000"	"645610000"	"851670000"	1558800000	1195500000	1219400000	"524280000"	"371780000"	"633460000"	18533000	"1259000000"	"1190500000"	"693290000"	790930000	1617200000	1545900000	"1278300000"	"524280000"	"371780000"	"633460000"	18533000	"1290200000"	"1334700000"	45830000	1.29e+09
56581	818.49019	"47020000"	"55889000"	"0"	"0"	"94911000"	"0"	"0"	98565000	60214000	35288000	"34736000"	"0"	"0"	76564000	"0"	"94911000"	"0"	0	0	35556000	"0"	"34736000"	"0"	"0"	76564000	"58410000"	"66610000"	56459000	0
6173	818.49019	"75997000"	"54872000"	"115220000"	"73594000"	"79105000"	"0"	"0"	59521000	0	0	"0"	"0"	"0"	0	"73594000"	"79105000"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"119780000"	"155980000"	0	0
15007	835.37457	"0"	"0"	"0"	"0"	"0"	"0"	"29950000"	1196200	20541000	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
31417	951.379	"0"	"6592500"	"0"	"0"	"0"	"0"	"0"	0	0	0	"13643000"	"22944000"	"15511000"	0	"820150"	"0"	"0"	0	0	0	"0"	"41624000"	"22944000"	"20778000"	0	"0"	"0"	0	0
144911	909.54362	"266240000"	"280330000"	"964790000"	"773230000"	"543850000"	"1208700000"	"742820000"	1396300000	1192800000	692110000	"0"	"0"	"0"	0	"786320000"	"522970000"	"1204500000"	659830000	634160000	660500000	"732360000"	"0"	"0"	"0"	0	"743340000"	"988380000"	654920000	250450000
124473	925.41162	"111110000"	"92903000"	"126590000"	"68472000"	"64034000"	"54495000"	"235020000"	34383000	30126000	0	"357850000"	"261590000"	"221530000"	0	"68472000"	"64034000"	"54495000"	174720000	180910000	107820000	"138000000"	"357850000"	"261590000"	"221530000"	0	"88230000"	"121580000"	0	36758000
1278	862.45824	"0"	"318320000"	"334360000"	"477080000"	"318910000"	"508980000"	"299100000"	158220000	143710000	195940000	"29237000"	"30475000"	"0"	0	"477080000"	"318910000"	"508980000"	289810000	222070000	0	"354040000"	"29237000"	"30475000"	"0"	0	"267070000"	"0"	145930000	149510000
16271	934.476	"2811500000"	"1770200000"	"1918200000"	"1198500000"	"1367900000"	"724990000"	"1793500000"	686680000	2487100000	1386700000	"734220000"	"736090000"	"681830000"	282290000	"1200900000"	"1358500000"	"724990000"	270870000	529530000	856900000	"1768400000"	"734220000"	"736090000"	"1000500000"	282290000	"494760000"	"416620000"	2078800000	2828600000
74549	938.56231	"338950000"	"285890000"	"0"	"169350000"	"284070000"	"151230000"	"16867000"	171230000	110750000	0	"27183000"	"0"	"277360000"	216720000	"169350000"	"284070000"	"151230000"	180830000	95473000	76067000	"161560000"	"27183000"	"0"	"277360000"	216720000	"0"	"183180000"	73336000	111980000
146964	908.43922	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"16972000"	"12016000"	"2673700"	681530	"0"	"0"	"0"	0	0	0	"0"	"11558000"	"12016000"	"2673700"	681530	"0"	"0"	0	0
99872	857.48583	"505050000"	"264500000"	"533510000"	"275640000"	"187480000"	"98802000"	"307070000"	189460000	659680000	365140000	"101610000"	"73815000"	"74402000"	10704000	"380180000"	"338780000"	"63047000"	45129000	86262000	239990000	"868720000"	"109640000"	"83229000"	"86545000"	28201000	"644820000"	"633320000"	289290000	413400000
19288	912.45928	"0"	"72235000"	"143830000"	"52019000"	"32002000"	"0"	"0"	0	0	11463000	"1132900000"	"1090900000"	"0"	0	"52019000"	"86105000"	"0"	12564000	62677000	62741000	"57338000"	"1132900000"	"1090900000"	"0"	0	"0"	"42734000"	0	0
38690	944.45045	"266570000"	"595830000"	"246270000"	"365590000"	"471990000"	"631600000"	"568760000"	602570000	276890000	134560000	"292370000"	"262770000"	"308220000"	19684000	"365590000"	"471990000"	"631600000"	408130000	174300000	132030000	"638940000"	"292370000"	"272160000"	"305190000"	19684000	"652400000"	"569770000"	392320000	430440000
40168	908.45045	"0"	"0"	"0"	"0"	"0"	"55663000"	"0"	0	0	94493000	"566240000"	"422250000"	"340520000"	227010000	"0"	"0"	"55663000"	171590000	0	0	"165960000"	"566240000"	"422250000"	"340520000"	227010000	"175250000"	"267640000"	117420000	137920000
128501	813.44186	"162820000"	"177120000"	"160600000"	"304030000"	"225120000"	"96540000"	"0"	0	0	192690000	"0"	"0"	"0"	0	"304030000"	"225120000"	"96540000"	0	0	0	"384970000"	"0"	"0"	"0"	0	"0"	"0"	0	0
90931	873.50321	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
