ID	Mass	C1_1682_POS.asc	C1_1686_POS.asc	C1_1690_POS.asc	C1_1696_POS.asc	C1_1697_POS.asc	C1_1700_POS.asc	C1_1710_POS.asc	C1_1713_POS.asc	C1_1718_POS.asc	C1_1729_POS.asc	C1_1730_POS.asc	D4_1687_POS.asc	D4_1688_POS.asc	D4_1694_POS.asc	D4_1704_POS.asc	D4_1706_POS.asc	D4_1720_POS.asc	D4_1725_POS.asc	D4_1726_POS.asc	D4_1732_POS.asc	D4_1733_POS.asc	D4_1683_POS.asc	D4_1685_POS.asc	D4_1689_POS.asc	D4_1691_POS.asc	D4_1692_POS.asc	D4_1693_POS.asc	D4_1699_POS.asc	D4_1701_POS.asc	D4_1702_POS.asc	D4_1703_POS.asc	D4_1707_POS.asc	D4_1708_POS.asc	D4_1714_POS.asc	D4_1715_POS.asc	D4_1719_POS.asc	D4_1727_POS.asc	D4_1731_POS.asc	C2_1684_POS.asc	C2_1711_POS.asc	C2_1712_POS.asc	C2_1716_POS.asc	C2_1717_POS.asc	C2_1721_POS.asc	C2_1722_POS.asc	C2_1724_POS.asc	C2_1728_POS.asc	1723_POS_UNKNOWN.asc	D3_1695_POS.asc	D3_1698_POS.asc	D3_1709_POS.asc
4769	314.028031917	1	6512417.4	1	8191738.1	1	7532892.2	1	8204106.6	1	10396047	1	1	1	8295815.7	1	8491327.5	6060016.9	1	1	7263253.3	1	1	1	6170398.2	12325009	7239862.5	21207593	1	6275519.1	8304735	1	11761800	1	1	1	7983065.5	1	9044702.6	8485601.2	1	18150757	1	6679722.6	1	7146896.9	1	1	1	8418410.4	8141066.9	1
4770	314.031299263	1	1	82755160	1	1	1	38731101	1	1	1	1	177858760	16907806	1	178292990	1	1	1	1	1	49036504	259318350	117346430	193057580	86961308	8237251.5	1	10314764	1	1	1	1	1	71115360	6237150.9	1	1	1	9600748.5	1	1	45753717	8294068	1	1	1	1	1	1	37935382	87115020
4771	314.032438286	1	1	1	1	1	1	1	1	1	1	1	1	1	26557079	1	1	1	12198536	1	21079843	1	1	1	1	1	1	1	1	1	1	1	1	6677691.8	1	1	1	1	1	1	10047475	1	1	1	10616916	1	1	1	16076867	1	1	1
4772	314.033795875	19303231	40141620	55963234	16647438	1	1	9222498.4	7223390.3	14864533	1	1	25872590	7268840.3	1	31236352	5895251	8673028.5	1	1	1	24978655	50348636	1	65561394	17222311	10897358	11211329	7517717.1	14037974	11505524	29958233	20000925	6492354.6	54700648	23063784	8391916.4	1	1	8745461.7	1	1	9342331.3	6884539.7	1	1	1	1	1	1	44491040	25672469
4773	314.037864968	1	1	100834930	7476764.6	6737578.6	8471424	5930609.9	5837930.6	7071648.7	1	6039525.4	71801057	22086201	1	51536144	1	1	1	1	1	20361450	122450540	17141906	72180541	28370102	1	1	7097888.7	1	9786242.9	1	1	15359440	71000694	8017911.2	10282365	1	1	8986628.5	12848648	9975687.7	34396556	5999304.7	1	24555697	8402563.3	1	1	1	17100591	35328291
4774	314.04164166	49904477	37057359	15564416	36206890	15094200	23153550	15490431	32621942	9775534	41527480	32005103	7686895.1	1	42986168	36602141	31385708	33204508	10220198	1	19325760	24471797	8970871.7	61931680	59038536	25242821	86312427	25808481	10896942	24459252	28595089	54955126	56034489	10197725	18118276	21209345	54618122	13915312	25782029	42386195	15449112	1	71886234	15992531	19432565	63901886	21087376	39263772	5929566.7	8428444.1	10637117	1
4775	314.054764	1	1	48504498	1	1	1	1	1	1	1	1	21053734	1	1	22022985	1	1	1	1	1	1	23076523	1	22981488	7936247.6	1	1	1	1	1	1	1	1	17578160	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8352621.3	1
4776	314.058844	12513185	1	6916289.4	1	16923122	176768970	1	5701805.7	112254180	27679978	91388968	1	99945103	1	7887446.8	8858020.8	8297807.1	6426843.6	10773354	1	5749031.2	78742202	48802017	6256507.9	41276680	8960043.7	1	1	8320566.8	40240081	9522869.2	6274294	43009562	1	6893880.8	45310022	196217070	1	1	1	1	1	1	1	1	1	8550227	1	1	1	1
4777	314.060445154	1	10363791	1	8445804.8	1	13692886	25637309	1	11210987	1	1	15973693	15127190	1	1	1	1	6860514.4	14046576	1	1	1	50557158	1	1	1	9626798.6	5901927.8	1	14251480	1	1	8974880.6	1	7136062.4	7431244.7	42094833	9936719.1	1	10463078	20909530	5851867.6	11072781	6536377.1	6096634.9	8330449.9	1	1	6952928.2	1	1
4778	314.064442108	10784182	16391069	20454103	15618427	11880965	18421220	6452169.9	16425408	14979829	11379450	14875194	1	13519525	33463050	10869098	12845238	10485599	7812080.7	7160446.2	1	8731702.6	1	32702710	1	18148639	12346433	38782655	1	21268556	37760998	12580556	13074186	11955246	13625042	1	44697690	1	14610781	14556518	1	1	1	6289945	9700550.1	1	1	7646819.4	1	10492401	13451666	1
4779	314.066903091	9413568.3	13418917	1	1	1	1	1	1	1	1	1	1	1	1	9850738.7	1	1	1	1	1	1	1	1	6538132.4	12389159	7779913.3	1	6124413.2	1	1	11603924	12799250	1	1	1	1	1	1	9709935.2	1	1	1	1	1	1	1	1	1	1	20204955	1
4780	314.070112889	10995916	9772465.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5477506.7	1	1	1	9477349.4	1	1	1	7731797.6	1	1	1	1	5930463	1	1	1	1	1	1	1	1	1	1	15648766	1	12548315	1	6098292.1	1	1	1	1	1
4781	314.073976727	1	7634878.7	1	1	1	1	1	1	1	1	5597016.7	1	1	1	1	1	1	1	1	13988775	1	19921651	1	28006312	1	1	1	1	7456497.1	6794505.5	1	1	1	7277555.3	1	1	1	5931134.6	1	1	1	1	1	1	1	8080132.5	1	1	1	1	19364266
4782	314.076734606	1	8635079.2	11094277	18172328	10097199	6631441.3	10484212	6762982.3	1	1	7677281.5	11845759	7325400.6	20416310	12453268	7347934.7	7806084.8	5715223.2	6919593.6	8640687	1	1	1	1	13071183	11436655	22252274	1	14372988	13124116	18472185	12735285	1	18702588	1	11457156	1	9446791.3	1	6388137.7	1	7438613.3	8665406.8	1	5608494.6	1	1	1	17085981	25932224	1
4783	314.082578828	9000958.4	10645468	1	29812157	17637442	1	7920391	1	6455341.1	1	6260853	8381845.8	9268975.6	15963978	10781607	1	16564630	16243498	1	34464707	1	1	1	15011778	1	8567940.6	11771657	36524719	1	6603819.3	1	7246153.1	13893230	6846993.1	13874566	1	1	11179421	1	1	1	1	18841425	1	1	9213216.5	5520286.4	9278177.5	9473330.6	1	1
4784	314.085339	1	1	6519077.5	1	1	9786929.6	7923600.7	1	7925560	5487415.2	1	1	1	1	1	5666299.1	1	1	1	1	1	8000799.9	1	1	1	1	1	1	1	1	1	1	10336376	1	1	1	17672515	1	1	1	7090228.7	1	1	1	1	1	1	1	1	1	1
4785	314.086684	1	11524073	1	1	1	1	1	1	1	1	1	1	8724737	1	1	1	1	1	1	1	1	1	1	1	1	15572629	1	1	12147874	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6131733.6	1	1	1	1	9316929.5	15991781	1
4786	314.088079152	11892244	1	6838961.2	6828752.3	1	7588923.6	7282969	1	6032063.3	1	1	7836588.5	1	10904414	5997242.8	1	1	7579451.8	11000783	5859797.1	5508988.3	1	7155533.7	7122898.7	8962169.9	1	9460513.3	7580863.4	9312936.4	10993214	1	9564252.8	1	10207266	6246294.5	6836909.7	1	9996207.5	9840060.2	6725721.5	6375232.7	6784061.3	11214178	1	10430293	6650421	1	7929075.2	1	1	1
4787	314.092137404	14767140	7088123.2	14762816	14891999	20910691	9007948	1	14229016	1	40705356	7258260.5	17141693	59769623	37759853	21679560	132514060	117394870	52743496	7291871.1	8725728.8	65867142	6667831.3	21869918	14276062	57075083	34168488	66363185	12957901	8430776.9	17647695	15407922	25600362	10709649	10832434	13177765	54900923	35986777	16126910	27668428	12085481	16556111	7778890.9	9741678.6	1	16777569	8788292	49196731	31927551	23713367	150245880	1
4788	314.094317333	1	1	1	1	1	9757778.5	1	1	1	1	1	6928837.5	1	8381300.6	1	1	1	1	6446054.5	1	1	1	1	1	1	7021232.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7242088.6	1	1	1	1	1	1
4789	314.094976857	13925424	13172741	1	7676906.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7257447.7	1	1	1	9259581.2	1	1	1	1	1	1	1	1	1	1	1	7675861.6	1	1	1	1	1	1	1	1	1	14016095	1	1
4790	314.095916857	1	1	1	1	1	1	8814132	1	1	5667159.4	1	1	1	1	1	1	1	1	1	8632301.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10624970	1	1	1	9421401.2	11908985	18404662	1	1	1	1	1	1	1
4791	314.099037333	704717890	597031960	221454170	250201590	178391670	571492450	308160060	80807470	78613858	124283230	105438380	225257950	573434680	281686920	167578080	152699180	103554500	322540890	143951860	173089780	167261590	110048080	289960310	101782510	116567460	274671300	428128080	128422630	821388500	346778730	298237260	124325250	383041190	113689420	282826170	142076110	381905260	395839450	309271530	291936010	529664620	276022880	557780870	739865920	321329530	353609050	179285710	570954010	821759600	344592920	196539910
4792	314.107448118	1	1	1	16133654	6065303.6	1	9465434.6	1	1	1	6056133	1	1	1	6705403	1	9198049.2	6551929.3	1	5848080.7	1	1	1	6906380.4	1	23465699	1	9770238.5	1	6148742.7	1	1	1	1	6075094.8	1	1	8969715.2	1	1	1	1	1	10557791	1	1	1	14382384	1	1	97302054
4793	314.1103615	1	1	7255430.6	1	1	6927118.6	1	6228306	1	1	7866575.1	1	1	1	8043012.8	1	1	1	8690718.7	1	9133498.2	6813308.8	1	1	1	11096044	10468222	1	1	1	1	1	1	1	1	5852155	1	10425341	1	1	17479314	1	5473957	7274601.1	6778525.7	1	1	1	1	1	1
4794	314.113002163	20044918	10847812	9325457.7	15073322	19280042	13646487	7941741.3	10814555	1	42213769	13067481	16898579	16327533	17192376	11977229	58681685	10539505	28433803	11425063	9262115.2	16765378	7290247	13372332	7244315.8	21018077	20911863	26425224	10025488	12809994	15398044	17052033	25542069	10466009	13289848	8289768.9	21889284	39354782	14401542	11331864	12784192	23472795	13880470	12429742	9323891.4	10856357	10493836	18729726	16533314	12271267	26740296	1
4795	314.116312571	8529283.7	5759054.8	1	1	6312373.7	5948579.4	1	1	1	1	1	7591199.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6462383.6	7066194.6	1
4796	314.121814652	27756696	30836833	63498162	32386634	61307592	71026873	23949963	47396471	66594217	45754787	46652662	63588918	29408145	7468502.7	40786475	24402290	36720140	15341992	49756230	20939840	1	25027497	1	16175670	22806016	115296020	41412524	6925099.8	24433963	33534141	11612577	27804116	69586681	18855831	29039110	24057124	1	74774565	34681913	15974244	45085371	26548916	19120073	30177682	47329730	15863725	23785241	30579038	14995651	1	1
4797	314.124465667	1	1	1	1	1	1	1	1	1	1	1	1	1	10914272	1	1	1	1	1	1	1	1	9866710.3	7310142.7	1	1	1	1	1	20213958	1	1	1	1	1	1	1	1	1	1	1	1	7505361.9	1	1	1	1	1	9485516.7	1	1
4798	314.132564	1	1	1	8921712.5	1	1	1	1	1	1	1	1	1	11454462	1	9302420.7	1	6979530.7	1	1	1	1	1	1	1	1	1	6386254.1	1	1	1	1	1	12986811	1	8407881.7	1	1	1	1	1	1	1	1	1	6136018.2	1	12158335	1	1	1
4799	314.134025786	26214600	1	1	1	6751729.3	8235494	1	1	12027856	5870534.9	9308957.2	10419303	42886083	1	29827668	1	7941680.4	1	1	11078247	1	9714646.7	1	10261083	1	41176902	10410463	1	17630554	8671722.8	45006287	13476350	41895716	1	21534254	1	30448101	1	1	8268694.7	7824872	7247327.5	1	7087295.4	1	1	1	1	7045104.9	1	41866889
4800	314.149515837	16122118	17850559	12239387	16441005	30485286	14346015	9640166.8	18270415	11519488	29404660	10877776	15283367	17794051	17651771	20756617	25555404	37764703	7945729.3	9437093.8	11534489	19133995	14417938	28232245	17022088	19729005	21439360	26823711	19859331	16260503	14602020	13666825	19143221	11543898	13349367	12422240	13130629	1	10839685	23271582	12363735	12448032	13072406	13745695	9348596.1	8084763	7724047	15359857	5785525.9	16460074	27376336	1
4801	314.1564715	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14985377	1	1	1	1	9362093.5	68804160	1	1	1	6509960.2	1	1	1	1	8166972.8	1	1	6176115.3	1	37641846	1	1	1	1	1	1	11013423	1	1	1	1	1	1	1	1	1
4802	314.159073412	21464362	7185887.6	1	10113231	1	1	5637126.3	1	1	1	1	1	1	6474588	1	1	8138364.6	1	1	8933302.1	1	6970934.5	1	1	6389650	10241956	9034822.6	1	7624636.4	7917896.4	11061036	9207895.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7820754.5	1	6991347	1
4803	314.170272431	98411862	32269574	49449067	65781495	84126573	24224109	39297836	21884689	13170242	63550001	28222868	120625910	99138648	9517700.8	229034700	20355601	74849949	18698820	10950893	77186266	24572519	33438817	19187331	26814662	29179583	219252690	24644725	75256774	97564135	21231986	340016730	100404860	126177190	17816126	57044642	15765966	35256925	34242765	31549675	26468397	39123820	17890144	22580318	30426686	40213086	20712024	38543283	48357878	59828086	29039389	144611090
4804	314.184149714	22081933	6929461.8	6301600.5	10957097	9228187.6	1	1	1	1	6674265.9	6567360.4	6613555.1	6360976.5	10976183	13732093	6362429.4	5725382	6668657.1	1	11561224	5771407.1	7946389.6	1	11780847	10123509	9028097.8	10827438	6576625.1	9793564.9	12769189	30751370	7055792.5	7950036.8	11503725	7922896	9046015.4	1	6148861.1	8986397.5	15570534	7377822.9	7312015.3	7099015.2	8214896	11211915	7986824	1	26066466	7811241.6	10875216	1
4805	314.192269	1	11284305	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6559909.3	1	1	1	1	1	10733776	1	6952509.8	1	1	6064588.4	1	7670408.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4806	314.195348	26535353	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17463529	1	1	18735402	1	8157632.1	1	1	1	9530924.5	1	1	1	1	6815667.5	5993431.3	1	1	1	1	1	1	1	1	1	1	6253738	5964183.1	1	6556593	1	1	1	1	1
