ID	Mass	x11_06_2016_QC_GA2_01_484_csv	x11_06_2016_QC_GA2_01_485_csv	x11_06_2016_QC_GA2_01_490_csv	x11_06_2016_QC_GA2_01_491_csv	x11_06_2016_QC_GA2_01_492_csv	x11_06_2016_QC_GA2_01_493_csv	x11_06_2016_QC_GA2_01_494_csv	x11_06_2016_QC_GA2_01_500_csv	x11_06_2016_QC_GA2_01_512_csv	x11_06_2016_QC_GA2_01_518_csv
394	212.152634	1486631	1615762	1378787	1469928	922238.3	1415053	1079651.5	1550397	1504477.4	1532650
395	212.152524	0	75692	0	0	0	0	0	0	0	0
396	212.152514	213556	178719	231263.6	176225	202635.5	130125	169986.4	186817	201157.6	195799
397	213.079238285714	544102	600358	557568.6	553053	569875.7	0	0	576169	580074.5	0
398	213.079024	111251	0	111176.4	129831	121619.2	118597	0	0	0	0
399	214.009124	0	0	0	0	0	302226	0	0	294490.3	0
400	214.030857333333	0	0	0	0	135697.2	0	0	131486	0	131132
401	214.045649	0	0	0	0	0	332291	333383.4	348529	332810.1	0
402	214.132299	348792	345425	587645.1	0	0	0	0	0	0	0
403	214.131952571429	0	0	416264.7	522211	214976.2	0	520148.9	578644	521997.6	214607
404	215.116074	0	213976	184740	0	199029.3	180149	0	0	0	0
405	216.003774	457631	501340	442595.9	428481	445399	447663	453232.3	458869	448340.9	434156
406	216.063384	0	161997	0	137970	135940.4	153090	159999.6	0	0	0
407	216.090149	74422	103882	92598.9	75876	76018.5	107383	0	0	91225.5	72610
408	216.147634	1026959	964500	975629.4	932812	965148.7	981944	1001870.9	985714	1018280.6	1083164
409	216.147584	1050224	1057056	1002703.9	1008847	1002873.6	983472	1024197.3	1018818	1001131.8	1017251
410	216.147642181818	1324536	1251742	1053589	1302533	1233949.9	1264487	2067772.9	1312713	1201274	1289512
411	216.147668444444	277038	284394	266603.4	263416	261307.7	260883	246408.2	270712	250422.5	0
412	217.131624	0	0	0	0	0	0	0	0	0	190036
413	217.204464	227720	262003	267003.2	252132	272281.3	259121	270177.3	275580	279481.7	277748
414	218.019364	2248066	2276422	1509771	1630672	1629554.3	1621063	1489252.8	1499841	1644671	1600242
415	218.126994	752045	772982	824467.6	804004	824672.2	828386	826757.7	805970	819671.8	800028
416	218.127024	0	909948	0	0	840677.3	0	0	0	0	0
417	219.110834	1428463	1565574	1329305.9	1305206	1379220	1391961	1382732.3	1362417	1356446.1	1358760
418	220.034957333333	1123092	1102187	725075.7	708215	614596.1	0	707143.9	708679	615010.4	701893
419	220.058554	3731203	4050011	3579817	3648803	3766187.8	3876513	3929044	4158600	4084682.3	4059387
420	220.084874	0	108208	139382.9	0	83977.8	0	0	0	98738.3	0
421	220.084984	617459	672204	570406.4	469432	527192.9	548394	545884.6	561416	559967.5	530001
422	222.100674	438390	0	356856.7	328643	0	349128	368405.4	0	0	367848
423	222.100674	349139	0	321139.3	0	0	0	0	0	0	0
424	222.173549	146259	0	142226.4	129679	174788.7	151087	136276.5	0	188794.2	183532
425	224.089709714286	1020595	695666	706450.9	718997	671964.1	856552	812781.1	700443	680578.3	748496
426	225.9940115	0	106890	0	144859	192355.4	213004	239471.1	307505	340260.6	262540
427	226.066074	306052	343435	288201.9	238086	309006.9	362026	393942.3	389121	367762.7	249652
428	226.082414	680317	596803	756343.1	718039	670396.2	669858	661079.5	624530	532593.3	598817
429	226.095074	191422	256752	197993.5	0	150380.5	149224	186372.3	183783	0	176761
430	226.168340666667	106665	192787	202828.7	141515	0	0	156042.9	175843	0	0
431	226.168274	0	226775	0	226561	0	0	0	0	0	0
432	226.168366857143	265749	425150	381094.1	332445	0	0	394646	180704	401966.8	0
433	226.168324	107122	0	0	0	0	0	0	0	0	0
434	226.193224	0	0	0	0	181298.2	0	0	0	0	0
435	228.009699	0	1024746	314614.8	1215030	1657839.4	1863926	1925417.4	0	2806872.3	2847082
436	228.011824	0	0	0	0	0	0	0	470338	0	0
437	228.040324	0	0	0	0	101092.5	0	0	0	0	0
438	228.061154	1956371	1673616	2671633.8	3518908	3565603	3495263	3506692.8	3548566	3519552.8	3468345
439	228.090024	1202434	1225264	0	1207781	0	1450906	1372808.6	0	1316961.5	0
440	228.110424	0	0	51467.9	0	0	0	0	0	0	0
441	228.147651272727	917393	998068	645652.5	916922	1001193.3	660533	697288.1	0	1000287	1014220
442	228.147890666667	370409	410638	699870.2	0	0	0	523908.3	0	458637.1	0
443	228.147499	0	0	0	0	0	439582	1702180.4	570263	0	1667988
444	228.147509714286	1364555	412458	1478099.1	257975	314438.3	609317	0	0	466557.5	0
445	229.035407333333	0	0	0	167251	174151.8	168344	156066.5	162797	158721.9	0
446	229.983224	278056	0	0	0	0	0	0	0	0	0
