ID	MN	H	C	O	N	S	P	Na	ME	Biomarker
7912	370.204513	26	25	1	2	0	0	0	371.2121295	0
7913	370.212042	35	16	7	0	0	1	0	371.2196949	0
7914	370.220285	34	16	9	0	0	0	0	371.22789	0
7915	370.221621	30	17	5	4	0	0	0	371.2291658	1
7916	370.232854	30	16	4	6	0	0	0	371.2403658	1
7917	370.23554	34	20	6	0	0	0	0	371.242984	0
7918	370.248109	30	20	1	6	0	0	0	371.2560036	0
7920	370.258006	34	18	4	4	0	0	0	371.2656913	0
7921	370.26605	34	28	0	0	0	0	0	371.2737317	1
7922	370.319543	42	21	3	2	0	0	0	371.327029	0
7933	370.979951	10	12	5	3	2	1	0	371.9872209	0
9568	370.981049	13	5	11	2	0	3	1	393.9705909	0
7934	370.982455	10	8	10	3	1	1	0	371.9897508	0
7937	371.016336	14	13	4	3	2	1	0	372.0236245	0
7938	371.01884	14	9	9	3	1	1	0	372.0261708	0
7939	371.028737	18	7	12	1	1	1	0	372.0362467	0
7940	371.047045	13	11	4	7	2	0	0	372.054458	0
7942	371.060097	13	13	10	3	0	0	0	372.0670482	0
7943	371.061751	18	11	11	1	0	1	0	372.069485	0
7944	371.066458	18	9	7	5	1	1	0	372.0734175	0
7945	371.07048	18	14	5	3	1	1	0	372.0777836	0
7946	371.072984	18	10	10	3	0	1	0	372.0806026	1
7947	371.082094	21	11	7	3	2	0	0	372.0896031	0
7948	371.08343	17	12	3	7	2	0	0	372.0907516	1
7950	371.09161	22	11	7	3	1	1	0	372.09921	0
7951	371.097349	21	15	4	3	2	0	0	372.1044724	0
7952	371.098136	22	12	10	1	0	1	0	372.1057675	0
7953	371.099853	21	11	9	3	1	0	0	372.1070521	0
7954	371.106865	22	15	4	3	1	1	0	372.1140442	0
7955	371.109369	22	11	9	3	0	1	0	372.1170451	0
7957	371.115108	21	15	6	3	1	0	0	372.1225917	0
7958	371.123837	21	18	0	5	2	0	0	372.1310912	0
7960	371.126341	21	14	5	5	1	0	0	372.133595	0
7961	371.127995	26	12	6	3	1	1	0	372.1357012	1
7962	371.136238	25	12	8	3	1	0	0	372.1438	0
7963	371.142764	25	13	11	1	0	0	0	372.150386	0
9588	371.148814	26	13	8	2	1	0	1	394.1379398	0
7965	371.149776	26	17	6	1	0	1	0	372.1575083	0
7966	371.158019	25	17	8	1	0	0	0	372.1655856	0
9590	371.160047	26	12	7	4	1	0	1	394.149096	0
7967	371.16438	30	13	5	3	1	1	0	372.1722975	0
7968	371.169252	25	16	7	3	0	0	0	372.1767556	0
7970	371.194404	29	18	7	1	0	0	0	372.2019505	0
7971	371.203133	29	21	1	3	1	0	0	372.2100709	0
7972	371.205637	29	17	6	3	0	0	0	372.2132147	0
7973	371.21687	29	16	5	5	0	0	0	372.2245198	0
7974	371.220892	29	21	3	3	0	0	0	372.22861	0
7975	371.224914	29	26	1	1	0	0	0	372.2326151	1
7976	371.230789	33	19	6	1	0	0	0	372.238454	0
7977	371.236147	29	25	0	3	0	0	0	372.2438383	0
7978	371.239518	33	22	0	3	1	0	0	372.246665	0
7979	371.253255	33	17	4	5	0	0	0	372.2608613	0
7980	371.267174	37	20	5	1	0	0	0	372.2746633	0
7981	371.278407	37	19	4	3	0	0	0	372.2859118	1
7982	371.339944	45	22	3	1	0	0	0	372.3475082	0
9620	371.92868	8	4	13	1	0	3	1	394.9183109	0
7987	371.963967	9	12	6	2	2	1	0	372.971065	0
9625	371.965065	12	5	12	1	0	3	1	394.954654	0
7989	371.966471	9	8	11	2	1	1	0	372.973845	0
7990	371.967338	13	9	6	2	3	1	0	372.9746	0
7991	371.968125	14	6	12	0	1	2	0	372.97553	0
7992	371.975987	10	8	11	2	0	2	0	372.9835533	0
7993	371.977704	9	7	10	4	1	1	0	372.9849082	0
7997	371.985097	13	9	8	2	2	1	0	372.992308	0
8000	371.988468	17	6	8	2	3	1	0	372.995793	0
8001	371.989119	13	14	6	0	2	1	0	372.9969447	0
8002	371.990836	12	13	5	2	3	0	0	372.997935	0
9628	371.991934	15	6	11	1	1	2	1	394.981392	0
8004	371.99334	12	9	10	2	2	0	0	373.00077	0
8005	371.994613	14	9	8	2	1	2	0	373.0021696	0
8006	371.99633	13	8	7	4	2	1	0	373.00342	0
8008	372.006878	13	14	8	0	1	1	0	373.0146978	0
8010	372.015806	12	7	8	6	2	0	0	373.0230712	0
8011	372.019765	18	11	8	0	1	2	0	373.0275514	0
8014	372.02385	12	17	4	2	2	0	0	373.0312317	0
8015	372.028008	17	11	10	0	1	1	0	373.0356878	0
8016	372.031061	12	11	5	6	2	0	0	373.038344	0
8017	372.038454	16	13	3	4	3	0	0	373.045465	0
8019	372.052842	12	16	5	4	1	0	0	373.06042	0
8021	372.057	17	10	11	2	0	1	0	373.0642071	0
8022	372.058717	16	9	10	4	1	0	0	373.0656396	0
8023	372.059584	20	10	5	4	3	0	0	373.06694	0
8024	372.060235	16	18	3	2	2	0	0	373.0677489	0
8025	372.064393	21	12	9	0	1	1	0	373.0722047	0
8026	372.067446	16	12	4	6	2	0	0	373.0747338	0
9638	372.071293	17	10	10	3	1	0	1	395.0605175	0
8027	372.082701	16	16	1	6	2	0	0	373.0898904	0
9647	372.083177	13	17	7	3	0	0	1	395.072612	0
8028	372.083869	20	11	10	2	1	0	0	373.09108	0
8029	372.090881	21	15	5	2	1	1	0	373.0982571	0
8030	372.093934	16	15	0	8	2	0	0	373.1012882	0
8031	372.104618	21	10	9	4	0	1	0	373.1123461	1
9657	372.107678	21	11	9	3	1	0	1	395.09685	0
9660	372.1117	21	16	7	1	1	0	1	395.1013525	0
8034	372.118537	25	13	10	0	0	1	0	373.1261511	0
8035	372.120254	24	12	9	2	1	0	0	373.12766	0
8036	372.127266	25	16	4	2	1	1	0	373.1344762	0
