ID	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
5343	187.110324	6.26025	3.76225	5.76445	8.50475	7.6293	3.9499	8.42005	3.7581	5.72315	7.0872	6.01615	3.11175	7.3266	1.8841	9.25925	6.28745	5.96925	7.1654	6.2401	8.1721	6.4201	5.93285	7.1057	7.4979	5.62375	7.5564	6.4736	2.59595	2.6284	8.6512	6.61215	5.75025	6.9592	7.8827	5.72105	3.13615	6.95905	6.49725	5.2897	6.8716	4.8941	7.9878	0	6.9	5.29465
5344	187.119824	6.06725	10.62545	40.83415	4.5857	13.25925	2.3582	44.17075	5.35105	4.4526	68.50345	5.36935	4.8894	2.76415	4.4072	5.4566	9.6997	7.59	54.0888	0.55495	16.09695	0	37.49175	1.58345	10.1013	52.69385	6.4176	7.18695	5.96055	7.6305	6.25455	7.7361	0	37.2762	5.40505	12.51665	4.1571	33.53195	8.9609	17.3077	45.62605	2.00835	5.14055	7.0062	4.9851	10.8779
5358	187.942524	5.20145	8.36945	0	8.297	8.7753	14.12535	8.35015	6.5218	10.5048	7.24115	6.48865	8.66045	0	0	4.5369	11.75135	5.17945	0	6.64045	12.1181	6.4637	12.90675	0	9.89455	0	6.696	0	15.1029	7.08005	7.3427	0	14.28865	5.17805	5.86265	8.728	0	7.74095	26.37605	6.5394	5.42965	5.71105	3.28025	5.07045	6.39625	11.5539
5376	188.027024	5.87325	6.5754	13.0014	13.0956	8.7005	14.66575	13.07085	14.0291	7.62105	7.3826	12.81705	6.6228	13.63545	6.0211	7.06195	6.08875	14.4683	11.64075	6.51865	11.01175	5.82115	15.88635	11.6431	0	10.44145	15.6829	10.5034	8.6811	14.71805	15.2115	6.14855	14.34105	14.2333	13.6464	7.959	12.6974	0	5.1159	6.1176	12.85345	15.13835	6.1821	16.8079	13.1902	13.42615
5379	188.027524	0	0	8.463	14.97375	66.7116	0	0	8.9161	22.06015	6.6325	0	19.27645	5.63185	0	0	5.0361	0	20.52355	6.3016	61.3964	4.2217	8.4645	17.48835	30.90685	9.93425	11.2081	38.3909	0	0	0	5.0588	0	6.4733	5.99935	63.7675	0	7.1256	32.1951	64.1486	7.7119	11.12055	17.31145	13.36785	7.6993	6.23085
5381	188.041524	11.0803	11.464	12.35305	13.25945	9.00605	14.08565	13.9626	5.46965	14.46135	11.33755	10.68895	0	7.55145	5.0426	8.7928	11.5204	12.3733	13.53235	6.5517	0	11.22955	13.7056	10.7912	12.01335	8.4019	13.2251	10.35875	0	12.1366	14.6408	7.221	14.70935	9.5592	13.343	13.3561	10.787	12.83165	13.8509	17.0318	13.61395	10.5438	13.5664	8.5371	11.2646	13.57565
5387	188.068124	32.12805	16.1509	63.89155	23.633	18.182	16.72855	45.385	16.72545	25.8565	38.37475	21.01825	5.6555	30.38795	9.9982	23.04895	38.49925	15.1184	68.8576	31.48995	24.776	9.1158	55.0199	19.6957	31.42265	38.01945	23.66925	17.0129	26.48405	24.19305	19.35165	45.3858	16.6555	60.80695	26.3243	16.48015	11.9773	48.33855	22.7339	30.03885	49.0463	22.90365	18.6928	25.29615	21.43125	21.85715
5390	188.068524	16.3286	0	34.73575	6.2603	8.55435	7.42325	22.5068	0	6.3584	20.05795	4.9239	23.41695	11.1398	0	7.0689	19.5577	2.7089	31.04835	13.61215	11.66255	5.60905	30.2178	4.31215	15.4286	16.7159	11.0548	10.0009	0	13.02865	7.95725	22.5367	4.46195	32.13255	10.2174	9.20525	4.9337	23.6384	3.0835	15.9619	22.3052	7.3138	0	12.95345	7.85065	4.39425
5392	188.069424	45.91035	23.9497	52.01305	51.9441	44.8701	41.3685	55.7512	50.9076	47.3411	51.09035	50.6951	32.53435	53.84875	22.10935	49.89785	47.6406	52.89235	49.6976	51.23905	43.5143	48.7543	52.5982	48.6196	48.68265	45.05985	52.1075	45.65245	40.8708	47.43305	50.94025	50.0803	49.33405	41.8329	52.1038	43.8034	52.5448	43.059	52.5114	47.10165	53.82685	52.2379	52.83435	53.64485	50.3612	54.44495
5393	188.070424	15.895	61.30535	41.13055	14.19155	17.07285	57.1548	17.46995	47.76035	19.2485	29.538	26.41665	0	39.6125	18.50035	28.0582	55.19445	33.3703	29.0012	66.1721	33.5354	79.61475	18.06405	32.061	53.7258	11.8391	44.0437	21.05825	0	43.94155	28.32835	14.93855	27.0137	23.33505	38.68405	13.5891	96.8632	18.4747	0	20.81755	17.6564	28.3342	52.7313	26.21585	27.3471	46.76205
5398	188.076524	8.7614	0	14.98005	16.68595	0	9.97865	7.061	14.6382	7.06145	7.1953	16.89465	11.4697	7.7931	8.54265	23.04705	10.01865	10.02495	7.35185	0	6.9752	9.27535	13.25045	16.87935	12.4185	8.73975	21.5971	17.55945	0	10.92715	12.3357	17.1693	22.7292	6.2682	17.8798	9.396	0	25.11825	21.7525	9.90525	15.2571	8.0522	7.0649	15.29435	23.8312	16.89715
5401	188.080824	12.1108	9.47885	20.20205	0	8.5796	20.4166	10.5478	0	20.691	23.94645	0	10.81025	5.41325	7.3648	0	15.85335	0	20.79965	23.43775	32.39395	8.64895	4.95885	0	13.4482	0	8.1939	0	0	24.10865	0	4.60745	0	0	0	0	0	8.38735	5.773	11.18755	0	0	10.3916	0	0	9.25635
5406	188.084124	33.5237	34.4871	33.58435	34.0702	35.1984	32.39785	39.44415	38.47745	33.074	36.49035	36.0291	19.34005	36.134	14.0259	40.16405	31.57645	37.7211	32.6041	32.28165	31.4965	37.0809	36.7347	33.67025	33.20485	33.23345	33.3854	35.50035	34.2693	34.6367	37.166	37.50095	38.5171	33.26115	32.16045	35.29165	35.4051	36.43935	33.963	36.375	38.0137	34.45195	32.24965	34.2979	34.5096	32.7795
5407	188.084224	15.53335	0	7.12955	0	11.14095	6.29395	9.41525	15.73355	0	6.9145	5.40225	0	6.57055	0	15.70905	0	9.12435	6.9683	13.8255	0	7.6505	14.56585	9.9002	12.37765	13.17565	7.56145	6.82375	0	0	7.19595	16.31205	15.9273	0	10.3437	16.78815	0	8.23035	8.1726	0	0	5.73565	8.4879	0	12.7157	18.6013
5409	188.084524	11.37965	0	6.6604	13.5984	11.78115	6.4842	16.2891	14.39665	14.1847	13.38825	5.76165	4.41925	4.009	6.3359	6.56565	11.6362	6.16785	12.11425	15.13345	11.0118	13.07665	11.50545	7.03285	5.12335	13.0259	11.80105	4.92685	10.8637	10.24795	5.23485	8.50205	6.1395	12.7778	6.48005	0	4.32575	0	5.53915	5.1854	8.22015	13.9878	6.82695	6.08465	5.7633	13.2997
5410	188.084824	21.3893	24.51705	45.6952	48.53615	45.9258	32.34705	37.65635	40.9867	33.6317	9.8316	33.5601	24.37025	49.36555	22.1041	45.06975	36.8471	48.0936	48.9907	32.0516	45.6439	49.86795	8.92265	44.10415	43.2108	50.0615	43.6172	49.4332	37.49715	40.5503	45.7019	35.89135	51.77185	44.62925	50.4344	53.83375	42.59785	23.7058	47.07	50.2504	41.1674	49.92635	47.26915	41.37935	51.69495	39.6702
5411	188.084824	12.24545	8.7139	14.314	15.02	21.44855	0	15.08985	14.31625	12.5214	12.6325	11.0831	9.93295	15.28955	16.17075	23.51865	12.14695	12.5837	12.68355	9.85395	10.6296	12.63705	22.46405	22.1203	11.1711	21.87055	25.8078	23.43765	13.3991	21.0391	27.0442	27.1867	29.5606	11.82655	12.23795	14.29255	12.65825	23.37745	26.7824	11.50575	29.4607	9.8203	27.62685	12.62195	15.41595	19.78205
5429	188.117624	8.59485	0	14.9405	16.1517	15.9402	0	22.0437	0	0	0	14.1451	0	0	0	15.76605	0	0	9.4523	0	23.5568	8.8884	0	5.6783	0	0	9.23305	0	0	5.92545	0	0	0	0	7.3426	21.1739	0	0	11.7972	0	0	0	0	11.1686	0	9.99145
5430	188.117724	10.80135	0	7.49765	5.96435	0	9.9931	14.9757	16.6344	9.0982	6.91145	0	0	0	0	0	24.00015	0	7.5596	13.24355	24.06645	6.61365	6.84145	8.5654	24.15635	9.08545	7.3423	0	0	18.49255	0	10.56525	0	10.0507	3.97445	0	8.56315	6.65575	10.20405	11.71155	18.48845	0	0	0	0	17.361
