ID	RT
681	0.9
682	1.2
683	2.7
684	7.21666666666667
685	2.1
686	2.63333333333333
687	3.48
688	4.7
689	2.2
690	2.97
691	3.23333333333333
692	3.72
693	4.27777777777778
694	5.34
695	6.09
696	7.05
697	2.24
698	1.6
699	5.8
700	6.2
701	1.66666666666667
702	2.2
703	3.07142857142857
704	9.88333333333333
705	13.3
706	1.69
707	1.2
708	1.9
709	4.075
710	2.16
711	5.4
712	0.8
713	4.1
714	4.9
715	3.03333333333333
716	5.8
717	2.97
718	7.8
719	2.7
720	1.175
721	3.02
722	4.1
723	13.3
724	0.9
725	3.5
726	4.08
727	3.21
728	2.4
729	5.1
730	6.21428571428571
731	7.37
732	1.1
733	3.37
734	3.7
735	4.2
736	5.325
737	5.86666666666667
738	6.8
739	4.92
740	3.4
741	2.62
742	4.0875
743	4.40555555555556
744	1.675
745	1.3
746	2.92
747	1.2
748	3.42
749	1.93333333333333
750	3
751	0.9
752	1.2
753	1.2
754	2.1
755	2.87777777777778
756	4.56
757	5.8
758	0.9
759	0.8
760	1.2
761	1.3
762	3.4
763	3.94444444444444
764	5.8
765	1.1
766	7.59
767	13.3
768	13.3
769	5.69
770	6.875
771	7.1
772	10
773	3.75
774	2.9
775	6.82
776	7.11666666666667
777	7.72
778	8.11111111111111
779	9.9
780	2.9
781	3.22
782	1.3
783	4.3
784	1.2
785	3.7
786	2.02
787	2.3
788	5.3
789	3.9625
790	4.3
791	5.22222222222222
792	5.5
793	5.98571428571429
794	4.91
795	2.9
796	2.13333333333333
797	4.04
798	4.8
799	2.9
800	13.3
801	4
802	2.6
803	5
804	0.9
805	0.9
806	1.1
807	1.17
808	5.96666666666667
809	1.6
810	3.7
811	0.9
812	3.3
813	1.1
814	2.13333333333333
815	1.3
816	0.9
817	1.3
818	8.61
819	9.1
820	1.9
821	4.9
822	1.9
823	4.2
824	2.7
825	2.83333333333333
826	3.22
827	5.2
828	8.42
829	8.88
830	10.0857142857143
831	1.6
832	5.41
833	2.3
834	2.7
835	3.43
836	3.97
837	4.3
838	4.7
839	6.62
840	4.9
841	3.13333333333333
842	1.3
843	1.9
844	4.5
845	4.8
846	1.7
847	3.12
848	3.7
849	6.32
850	6.6625
851	3.81666666666667
852	2.7
853	5.4
854	1.1
855	4.08
856	4.48
857	5.62
858	7.5
859	0.9
860	4.1
861	2.48333333333333
862	3.9
863	13.3
864	3.5
865	2.9
866	4.9
867	13.3
868	9.2125
869	10.32
870	0.9
871	0.9
872	2.3
873	10.7444444444444
874	11
875	11.3
876	5.4
877	2.5
878	3.11
879	3.55
880	2.8
881	3.31111111111111
882	2
883	3.72
884	5.61666666666667
885	6.05
886	1.82
887	2.9
888	2.1
889	4.76666666666667
890	1.2
891	4.9
892	2.9
893	4.1875
894	4.61
895	2.9
896	2.13333333333333
897	3.82
898	4.63333333333333
899	5.7
900	7.3
901	0.9
902	2.9
903	2.14
904	1.09
905	2.6
906	2.79
907	2.9
908	1.09
909	4.1
910	4.13333333333333
911	4.5
912	4.9
913	1.1
914	2.55555555555556
915	3.68
916	5.7
917	3.7
918	12.5
919	2.26666666666667
920	4.6
921	6.62222222222222
922	4.775
923	1.8
924	1.3
925	6.46666666666667
926	6.8
927	3.83
928	4.94
929	5.26666666666667
930	9.67777777777778
931	4.5
932	4.8
933	3.9
934	3.2
935	6.5
936	1.2
937	5.125
938	5.8
939	2.13333333333333
940	1.2
941	3.41
942	3.8
943	4
944	0.9
945	4.8
946	1.3
947	0.9
948	6.1125
949	2.2
950	2.27142857142857
951	3.3
952	1.3
953	0.9
954	5.28
955	1.3
956	1.3
957	2.2
958	4
959	4.8
960	4.51666666666667
961	2.5
962	2.14
963	2.1
964	4.8
965	1.3
966	2.13
967	3.4
968	7.1
969	0.9
970	1.2
971	2.18
972	2.16
973	4.23333333333333
974	3.43333333333333
975	4.01111111111111
976	7.3
977	2.9
978	1.325
979	2.19
980	1.16153846153846
981	4.1
982	1.1
983	3.06
984	1.3
985	0.99
986	0.9
987	6.45
988	9.6
989	0.9
990	0.9
991	0.9
992	4.92
993	2.6
994	2.2
995	1.3
996	5.375
997	0.9
998	5.89
999	4.1
1000	1.1
1001	6.3
1002	4.77777777777778
1003	1.125
1004	4.25
1005	5.14
1006	1.33333333333333
1007	3.2
1008	7.7
1009	2.9
1010	0.9
1011	1.3
1012	4.92
1013	2
1014	2
1015	0.9
1016	13.3
1017	2
1018	4.92
1019	1.1
1020	5.6
1021	6.2
1022	7.18
1023	0.9
1024	4.4
1025	6.2
1026	5.9
1027	3.9
1028	4
1029	4.1
1030	4
1031	3.725
1032	0.9
1033	9.4625
1034	10.1
1035	1.225
1036	1.22222222222222
1037	4.775
1038	7.52
1039	1.1
1040	2.4
1041	3.95
1042	3.67
1043	1.1
1044	2.9
1045	5.9
1046	4
1047	4
1048	2
1049	0.9
1050	3.32
1051	3.7
1052	5.4
1053	9.3
1054	1.2
1055	4.7
1056	5.4
1057	1.2
1058	4.92
1059	6.27
1060	6.26
1061	4.8
1062	1.1
1063	4.2
1064	3.69
1065	5.3
1066	2.1
1067	4
1068	4.91
1069	2.75
1070	2.2
1071	2.2
1072	4
1073	0.9
1074	4
1075	2.2
1076	5.98
1077	4.1
1078	5.02
1079	1.15
1080	3.31111111111111
1081	4.87777777777778
1082	4.9
1083	2.15
1084	1.2
1085	7.97
1086	10
1087	2.56
1088	5.73
1089	7.3
1090	7.88571428571429
1091	5
1092	1.3
1093	8.4
1094	5.7
1095	5.58
1096	1.8
1097	2
1098	4.85
1099	1.1
1100	1.1
1101	4.15
1102	1.06
1103	2.14
1104	4.82857142857143
1105	4.8
1106	4.8
1107	1.2
1108	2.2
1109	5.5
1110	3.12
1111	1.28888888888889
1112	1.2
1113	1.22
1114	3.2
1115	7.18
1116	3.3875
1117	1.12
1118	0.9
1119	0.9
1120	1.2
1121	2.4
1122	4.9
1123	5.3
1124	4.9
1125	5.3
1126	4.9
1127	1
1128	0.9
1129	2.5
1130	4.5
1131	4.9
1132	0.9
1133	4.1
1134	1.14
1135	1.25
1136	6.78
1137	7.38888888888889
1138	8.62
1139	1.2
1140	5.6
1141	6.77
1142	7.36
1143	8.2
1144	8.61
1145	1.1
1146	2.1
1147	1.1
1148	0.9
1149	9.7
1150	10
1151	0.9
1152	1.8
1153	1.1
1154	1.2
1155	1.2
1156	3.3
1157	1.1
1158	1.3
1159	1.7
1160	1.1
1161	1.1
1162	2.1
1163	1.8
