ID	Mass	R7S1	R7S2	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R7S16	R8S1	R8S2	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R8S16	R9S1	R9S2	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15	R9S16
3045	316,090668	0	0	0	0	0	0	2730583	0	0	0	0	0	0	3402741	0	0	0	0	0	0	0	0	0	3314722	0	0	0	0	0	0	0	0	0	2813094	0	2916018	0	0	0	0	0	0	2980274	3224465	0
3046	316,09469	6524961	3753018	4077698	4525781	10495611	4678667	4072025	3605493	4743280	5278752	0	0	3306522	4076536	4889397	4275922	2881516	5120968	3314160	16499486	0	5531875	3666703	4374564	5599189	4918995	5325598	3125732	3228547	3969592	7336372	6368326	9192385	4308136	7503209	3167924	3014048	4302879	6034995	5358458	4236511	0	0	0	3817814
3049	316,11582	43542568	69551176	66144396	45510368	52493960	68253720	54788708	41643008	57050236	54985768	28068300	23311472	39505956	65618948	58817344	58130140	74580984	59818960	37039608	54248232	37490056	62865644	59705116	56574000	47608796	53589724	53104424	37253612	37438352	57377348	64684480	71846992	73286600	62309556	45151604	68095680	46214568	56557608	47545916	59032452	60244204	33100490	45986240	45544864	52144480
3051	316,13695	3986483	10032206	7809177	4496104	8439443	5965858	6484594	3329547	4649095	6911028	0	0	0	6331406	5038923	8154857	9300994	7943131	0	8006449	0	8431864	4648743	5953594	5227494	8353513	10428212	6388215	3979162	4311631	6783434	9753689	9505749	7052478	9264510	8699596	4294067	4638773	6682185	6828943	8755445	3190484	5321162	2949549	4764013
3052	316,152205	0	0	0	3260143	0	3664938	3065467	0	3263631	3376187	0	0	0	0	0	2792177	3235851	0	0	2940728	0	3237119	0	0	0	0	2935612	0	0	3222615	2827986	3234912	3705821	3156166	3414406	3163860	0	3227709	3391057	2780566	0	0	3053522	3360182	3161462
3053	316,174671	3183683	7269473	6869165	0	3729065	6705206	5001864	4120607	5131420	5796933	0	0	0	4328483	0	8163070	0	7404524	5240342	9825091	4153761	4204810	5984061	8290382	4180981	3445499	3375944	3981832	5792687	0	3093981	3033195	6657000	3159250	0	6471393	3073476	3528778	6096477	4130722	0	0	0	0	6580610
3054	316,18859	0	3304551	0	3127039	0	0	0	0	2806947	0	0	0	0	0	2987878	2752261	3007518	0	0	2911049	0	0	0	0	0	0	2722639	0	0	0	2887652	0	0	0	0	3319528	0	0	0	0	3461392	0	0	0	0
3055	316,2191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3035237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3058	316,900774	0	3832251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2764414	0	0	0	0
3060	316,989729	2941343	7704038	6517346	3357800	4775035	7444973	6151266	4905420	4494939	5686724	7586635	6958551	6138295	7808471	5403904	5501119	6108615	4972895	3866510	4082873	5451528	6128279	5650699	4546038	4855097	4326546	5146870	4053871	3187049	5527580	7549820	7085540	5768560	6207093	3883816	4099231	3888943	2887167	4986890	6632760	5530284	5038163	3209082	4452276	5914437
3062	316,998378	0	3261930	0	0	3139712	0	0	0	2756192	0	0	0	0	0	2720516	0	2865100	0	0	0	0	0	3288848	0	0	0	3198203	0	0	0	0	3795432	3690868	2950777	0	3483812	0	0	0	0	0	0	0	3207097	0
3063	317,006152	0	4744686	5093994	0	3691652	4810230	4214891	2983381	0	2790859	0	0	3217854	5137888	0	4483271	5483984	5098854	0	4139200	0	5986975	3842324	3440639	0	4709530	6250751	0	0	4901924	7693188	5502443	5551480	0	4786992	4699304	4461366	0	0	6182208	4631220	2921562	0	0	5197645
3065	317,014801	0	4701682	6955631	0	5931145	3974651	3288176	3590617	0	3060175	3538773	0	3369410	4931044	0	3948748	4553173	4221290	0	5338308	0	4563619	4843801	2962435	0	3500702	3183363	0	0	0	3613577	4603375	5754236	0	5657397	4784301	3022650	0	0	6389061	4285113	0	0	0	3989330
3066	317,02054	0	3884532	0	0	3369612	0	2724467	0	2856556	0	0	0	2730949	2764263	0	3891407	4041175	3017069	0	0	0	0	0	0	0	0	4505862	0	0	3298860	3514251	3779058	2828670	3023493	0	0	0	2788367	0	0	0	0	0	0	0
3067	317,024778	0	2821622	0	0	0	0	3559542	6168031	0	0	3062618	0	4524487	6827498	10142994	0	0	4707695	6305694	0	4477719	0	14113055	0	0	0	0	0	0	21218350	0	0	0	5557895	0	16015538	4133694	0	0	0	3553981	0	4595596	7765961	0
