ID	Mass	RT
661	96,021024	1,8618
665	96,021124	1,1256
666	96,021124	5,0224
676	96,962324	3,0011
684	97,023024	1,1573
688	97,052824	1,8818
690	97,053024	1,1142
693	97,089224	1,1933
696	97,977124	1,1017
697	97,977224	1,6695
700	98,000324	3,172
702	98,001424	1,1827
704	98,036124	1,6704
707	98,036824	1,1163
709	98,037324	1,2341
712	99,031924	1,1707
716	99,068224	3,703
715	99,068224	4,5738
718	99,068424	1,0604
721	99,068724	1,2612
730	100,015724	3,689
729	100,015724	4,8056
731	100,015824	1,535
732	100,015824	8,7827
735	100,016024	1,1647
736	100,016224	2,0891
741	100,052624	3,1714
744	100,053224	1,1408
748	100,058324	1,2566
751	100,063224	6,2254
762	101,019524	4,8072
764	101,020524	1,5448
768	101,030524	1,2529
772	101,046024	1,2636
775	101,046924	5,3396
791	101,083924	2,1063
795	102,014324	5,3349
797	102,032024	1,0697
798	102,033824	1,5309
803	102,046524	5,7765
805	102,046824	2,5937
808	102,046924	4,4157
810	102,047224	7,161
825	103,045924	4,1396
828	103,046124	4,214
829	103,046324	1,2715
836	103,050524	2,5944
839	103,063324	1,0583
840	103,063424	1,2045
841	103,099224	1,0517
845	103,993524	1,2611
848	103,994524	3,6811
852	104,030224	1,2532
857	104,062324	3,7475
856	104,062324	7,1595
862	104,062424	4,595
863	104,062424	4,8085
867	104,062624	6,3589
870	104,062824	6,1602
874	104,062924	3,817
873	104,062924	5,2588
878	104,103124	1,0527
884	105,057924	2,3991
885	105,058124	3,4146
887	105,058524	5,6109
893	105,066324	7,1586
894	105,066524	6,358
902	106,041424	7,4237
905	106,042024	6,3584
907	106,042124	2,5976
906	106,042124	6,161
909	106,042224	3,79
913	106,063524	1,1676
917	106,078324	5,6831
920	106,078424	5,2569
919	106,078424	6,1649
918	106,078424	6,3576
928	107,038324	3,4399
933	108,021424	1,1407
934	108,021524	1,2263
938	108,022124	6,3601
942	108,057624	6,1607
945	108,057724	6,36
948	108,093924	5,2635
949	108,094024	5,6781
952	109,027424	1,5695
953	109,027624	1,2581
954	109,027724	1,4035
960	109,062824	1,2582
966	109,064024	7,2611
973	110,000524	1,2567
974	110,000524	3,7744
977	110,000624	3,6844
979	110,000724	1,3593
981	110,000924	5,3781
982	110,001224	4,385
991	110,036824	4,5392
992	110,037124	1,8935
993	110,037324	1,149
997	110,038124	1,2262
1001	110,045024	1,0695
1005	111,004224	1,2553
1008	111,030924	1,183
1011	111,043224	1,2651
1012	111,043324	1,1279
1013	111,043324	1,5645
1015	111,068424	1,114
1017	111,068624	2,7349
1018	111,068724	2,1101
1019	111,068924	3,0905
1024	111,079424	1,2183
1026	111,546424	3,3643
1035	112,022424	1,1763
1036	112,026824	1,2521
1038	112,027124	1,4207
1039	112,037124	1,675
1040	112,048524	1,1316
1044	112,052524	8,222
1047	112,052624	5,773
1050	112,052724	5,1049
1051	112,052824	1,9089
1053	112,052924	4,3836
1055	112,053124	2,3327
1056	112,053524	8,9281
1060	112,067024	1,1067
1080	112,957524	3,0109
1088	112,957624	4,5245
1090	112,957624	4,6402
1089	112,957624	4,9074
1094	112,957724	3,3272
1111	113,029924	1,2308
1112	113,045924	1,2594
1118	113,047824	5,3351
1121	113,047924	1,1186
1122	113,048224	1,5814
1124	113,083924	1,7274
1125	113,084024	1,1574
1128	113,084424	2,2578
1129	113,084424	5,0089
1146	114,031824	1,4763
1147	114,031924	3,7048
1149	114,032024	1,2646
1150	114,032024	3,2005
1152	114,032124	1,1339
1153	114,032224	2,1198
1156	114,032324	4,8104
1158	114,032624	4,618
1161	114,033024	5,031
1162	114,035924	6,355
1170	114,068324	4,7385
1176	114,115724	4,9632
1188	115,035224	3,6979
1189	115,044124	4,2849
1190	115,048524	1,4294
1191	115,053024	1,263
1195	115,062824	1,0905
1196	115,063224	5,7071
1198	115,063324	6,5265
1201	115,063424	4,0817
1200	115,063424	5,3439
1205	115,063524	1,5303
1211	115,063624	3,8894
1218	115,116724	1,09
1220	115,173424	1,0901
1224	115,254924	1,087
1226	115,314024	1,092
1227	115,342124	1,0925
1228	115,362824	1,0903
1229	115,387524	1,095
1230	115,403724	1,0881
1231	115,431924	1,0888
1232	115,468924	1,0927
1233	115,483024	1,0858
1234	115,503324	1,0892
1235	115,532624	1,0909
1236	115,562624	1,0914
1237	115,585924	1,0939
1238	115,603024	1,0877
1239	115,625524	1,0954
1240	115,643524	1,0886
1241	115,671124	1,0878
1242	115,684224	1,106
1243	115,706024	1,0945
1244	115,735024	1,0863
1245	115,762224	1,0953
1246	115,782324	1,0909
1247	115,803124	1,0903
1248	115,833824	1,0927
1249	115,862524	1,0889
1250	115,882724	1,0911
1251	115,913324	1,0901
1254	115,952024	1,0866
1257	115,957224	3,1682
1262	115,977924	1,095
1263	116,001024	1,0869
1264	116,011524	1,1683
1267	116,026424	3,7924
1271	116,026724	4,8378
1272	116,026724	4,9495
1276	116,027024	3,586
1278	116,028524	1,0855
1283	116,047524	3,1677
1289	116,051824	1,2546
1301	116,062524	7,4628
1302	116,062824	6,166
1306	116,067124	1,0919
1308	116,114224	1,0897
1309	116,146024	1,0949
1310	116,172824	1,0882
1312	116,230924	1,0908
1313	116,273524	1,091
1314	116,312524	1,092
1315	116,341524	1,0893
1316	116,362624	1,0903
1317	116,391524	1,0876
1318	116,419024	1,0922
1321	116,484624	1,0905
1323	116,523524	1,0924
1324	116,547524	1,0933
1325	116,571724	1,0895
1327	116,634324	1,0922
1329	116,671824	1,09
1331	116,712724	1,0884
1332	116,742924	1,0928
1334	116,789624	1,0894
1335	116,819024	1,0917
1336	116,846224	1,0928
1337	116,866524	1,0891
1338	116,892624	1,0888
1342	116,972524	2,4818
1343	116,992124	1,0895
1346	117,030324	3,7915
1350	117,057724	4,0216
1355	117,058424	5,623
1360	117,059224	5,0847
1375	117,078724	1,067
1382	117,079124	1,1855
1387	117,110924	1,092
1388	117,151324	1,091
1392	117,242024	1,0905
1399	118,035724	3,9999
1400	118,037724	1,5252
1401	118,038524	1,2583
1409	118,042124	4,4454
1412	118,042324	4,6348
1413	118,042324	5,9029
1415	118,042424	3,6037
1416	118,042424	6,1855
1417	118,042524	4,8711
1419	118,042724	10,7882
1422	118,042824	7,1794
1425	118,057724	5,6348
1446	118,078724	5,2567
1451	118,082424	1,0675
1453	119,037824	5,6232
1458	119,041224	5,3351
1465	119,046024	1,5243
1466	119,046224	4,4428
1470	119,057524	1,0647
1472	119,069424	1,2646
1479	119,072924	2,5926
1482	119,073124	2,1365
1483	119,073124	2,227
1484	119,073224	2,3968
1485	119,073324	4,3951
1487	119,073524	4,1458
1492	119,073624	7,2985
1494	119,073724	4,5761
1495	119,073724	5,3018
1496	119,073724	6,0105
1502	119,073824	4,2346
1500	119,073824	5,1176
1501	119,073824	5,5002
1503	119,073824	5,6588
1498	119,073824	5,7759
1499	119,073824	6,2373
1504	119,073824	6,8722
1509	119,073924	6,4217
1508	119,073924	6,6241
1510	119,074024	7,9316
1512	119,074224	3,9205
1525	120,021624	4,3042
1524	120,021624	4,7501
1528	120,032724	5,5053
1531	120,057724	4,4157
1534	120,058024	6,1586
1535	120,058124	6,3604
1555	120,076724	1,2602
1560	120,077424	2,5942
1564	120,079524	6,238
1571	120,085324	4,5617
1572	120,085924	5,7624
1576	120,092224	5,8711
1579	120,093524	5,2585
1582	120,093724	7,2563
1581	120,093724	8,8647
1585	120,094124	6,1595
1584	120,094124	6,358
1590	121,022924	5,7962
1592	121,061224	4,4155
1593	121,061424	6,3614
1596	121,089324	7,1557
1599	121,089524	3,7465
1602	121,097824	6,357
1605	122,000724	1,1921
1610	122,036724	3,1877
1614	122,037024	4,5383
1617	122,037124	1,5225
1620	122,037124	4,1248
1618	122,037124	4,9013
1616	122,037124	5,1739
1619	122,037124	10,7873
1621	122,037224	4,4082
1624	122,037424	8,2224
1629	122,041524	1,2649
1632	122,048224	1,0554
1635	122,073324	5,2548
1644	122,093224	7,1559
1647	122,109224	11,2854
1649	122,109624	6,3605
1652	122,110124	5,0788
1654	123,032624	1,1313
1657	123,033124	1,2451
1658	123,035824	1,5318
1660	123,040824	5,1664
